id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
BJFS001,北京法源寺,beijing_fayuansi,唐太宗征高丽不换袍,BJFS_002_3;BJFS_002_4;BJFS_002_5;BJFS_002_6,002.第一章——悯忠寺.txt,5-11,526,"唐太宗的计划是，用二十万人以下的兵力，用快速进攻，速战速决。他把这个计划告诉了一个三十年前曾参加打高丽的老战士，但老战士却说：辽东太远了，补给困难，高丽人很会守城，速战速决恐怕很难。但是，老战士劝阻不了唐太宗，最后劝阻他的一个大臣——魏征——也死了，没有人劝得住他，他决心打这场仗了。

645年3月，他要出发了，他留守后方的儿子很紧张，哭了好几天。最后，送他行的时候，他指着自己的衣服对儿子说：“等到下次看见你，再换这件袍子。”——衣服都不用换季，仗很快就会打胜的。

5月，唐朝的大军打到了辽东城下，辽东是现在中国东北的辽阳城，血战以后，攻下了辽东城。6月，已进军到安市（辽宁盖平县东北）。高丽动员了十五万人，双方展开了恶斗，最后高丽打不过，就决定坚壁清野，将几百里内断绝人烟，使唐朝军队无法就地找到补给。就这样的，战争拖下去了。

夏天快到了。唐太宗还穿着原来的袍子，不肯脱下来。7月过去了，8月过去了，储存的粮食快光了，东北的天气也冷了，唐太宗的袍子也破了。新袍子拿来，他拒绝换，他说，将士们的袍子也都破了，我一个人怎么穿新的？最后，只好撤军了，9月在撤退里度过、10月在撤退里度过，11月才回到幽州，到幽州的时候，所有的马，只剩下五分之一了。"
BJFS002,北京法源寺,beijing_fayuansi,谢枋得见曹娥碑绝食,BJFS_002_19,002.第一章——悯忠寺.txt,37-37,257,13世纪，南宋也亡了。一个江西的进士谢枋得，参加抵抗蒙古兵失败，妻子都被俘。他隐姓埋名，在江湖上算命，他不肯用元朝的钱，只肯收米面等实物，给他钱，他就生气，丢在地下。后来被发现了，他逃到福建，藏身武夷山中。元朝统一中国后，为了笼络汉人，到江南访求宋朝的遗士，跟它合作，名单开出三十人，谢枋得在里面，邀功的官吏找到他，强迫他北上。到北京后，他被安置在悯忠寺，他看到寺里曹娥碑，想到曹娥这个为了找父亲尸体，十四岁就自杀了的汉朝女孩，感慨：“小女孩都能做到，我不能不如你啊！”遂把自己饿死在悯忠寺里。死的时候，六十四岁。
BJFS003,北京法源寺,beijing_fayuansi,程本直为袁崇焕喊冤,BJFS_003_75;BJFS_003_76;BJFS_003_77,003.第二章——寂寞余花.txt,149-153,531,"“承先生过奖。但有更忠肝义胆的。袁督师下狱以后，忽然出来一个书生，叫程本直，一再为袁督师喊冤呼吁，结果被崇帧皇帝给杀了。他的尸首，后来也由先祖埋起来，就埋在袁督师坟的旁边……”

“这么一说，我记起来了，这位程先生的墓碑边上有人题了十个字，叫‘一对痴心人，两条泼胆汉’，是不是？”

“对了，你先生真是好记性，这位程先生跟袁督师不但素昧平生，甚至可说还有点不愉快，因为他三次求见袁督师，袁督师都没见他。袁督师被捕以后，他一再替袁督师喊冤，结果被判死刑。他死的时候，说我不是为私情死的，我是为公义死的。先祖是跟袁督师多年的仆人，他为袁督师做的，私情的原因占得很重。但这位程先生做的，却全是争正义、争公道，在皇帝发了大脾气要杀人的时候，他为袁督师仗义执言，他的为人，可真有性格。可惜他只是一个布衣，没地位，也没什么名。由这位程先生的事，可以想到袁督师的伟大，感人至深。我还记得程先生呼冤书里的几句话，他说：‘举世皆巧人，而袁公一大痴汉也！惟其痴，故举世最爱者钱，袁公不知爱也；惟其痴，故举世最惜者死，袁公不知惜也。于是乎举世所不敢任之劳怨，袁公直任之而弗辞也；于是乎举世所不得不避之嫌疑，袁公直不避之而独行也。’这就是你先生看到的‘一对痴心人，两条泼胆汉’的渊源。”"
BJFS004,北京法源寺,beijing_fayuansi,小徒弟在庙门等哥哥,BJFS_003_97,003.第二章——寂寞余花.txt,193-193,354,“我这个小徒弟，父亲母亲全在河南旱灾里饿死了，他八岁就被哥哥带着，千辛万苦逃荒到京师，走到这个庙门口，他哥哥说你在这里等我，我去一下就来，你饿了，先吃包袱里的窝头，他说只有一个窝头了，我等你回来一起吃。他就坐在门口等，等了快天黑，哥哥还不回，他急了，在外面偷偷抹眼泪。被我看到了，问他，他只知道是逃荒来京师的，不知道京师有没有亲戚，打开包袱一查，里面卷了一封信，是他哥哥写的，写给庙上和尚，说实在没能力照顾这个小弟弟了，请求庙上收容这个小孩，算做许愿许进来的小和尚。当时我被逼得没办法，只好让他住在庙上。他倒也有宿慧，听话，不打扰人，自动搬桌子扫地，好像并不白吃这碗饭。只是晚上常常偷偷流泪；有时在庙门口张望，等他哥哥回来接他，但他哥哥再也没回来。就这样八年下来，他在庙上自修，书念得很不错，人也聪明伶俐。”
BJFS005,北京法源寺,beijing_fayuansi,穷秀才打和尚,BJFS_003_107,003.第二章——寂寞余花.txt,213-213,125,“先生说得有道理。记得那个笑话吗？一个穷秀才，在庙里看到老和尚对大官恭恭敬敬、对他不恭敬，就质问老和尚，老和尚说：‘你搞错了，我们禅话，恭敬就是不恭敬，不恭敬就是恭敬。’那秀才立刻给老和尚一个嘴巴子，说：‘我们秀才，不打就是打，打就是不打。’哈哈。”
BJFS006,北京法源寺,beijing_fayuansi,小徒弟藏馒头等哥哥,BJFS_003_147,003.第二章——寂寞余花.txt,293-293,366,“小朋友什么都知道。提到馒头，我又想起一个他的故事。他到庙上前几天，每天早饭吃一个馒头，他也分到一个，但他只吃一半，每天留下半个。有时候午饭也吃馒头，每人限两个，他就只吃一个，留下一个。后来跟他同住的和尚通知我，说他包袱愈来愈大，怪怪的，我们就委婉地找个机会请他打开包袱，结果一看，都藏的是一个半个的馒头。他逃难逃怕了，又想到他哥哥在外面可能挨饿，所以把他应得的分量，都只吃一半。当时他睁了大眼睛，低头看着馒头，又抬头看着我们，又低头看着馒头，又抬头看着我们，只结结巴巴的说了一句：‘等哥哥来的时候，能不能把馒头带走？’我听了，忍不住掉下眼泪。他跟哥哥逃难时候吃过死老鼠、吃过树皮、吃过草根，并且可能吃过人肉，他记得一次哥哥拿回过一块肉，吃起来怪怪的，他问哥哥‘是什么肉’，哥哥皱眉头想了一下，说：‘别管了，快吃吧，吃剩下我吃。’”
BJFS007,北京法源寺,beijing_fayuansi,屈突通与尧君素的两种忠,BJFS_004_41,004.第三章——“休怀粉身念”.txt,81-81,1167,我举隋唐之间改朝换代的两个人物做例子。先以屈突通为例。隋文帝派屈突通到甘肃检查牧政，查到两万匹私马，隋文帝要杀主管马政的公务员一千五百人，屈突通说，为马杀人非仁政，他愿一死以为一千五百人请命，隋文帝听了他的话，不杀人了，还把他升了官。屈突通做官，执法很严，六亲不认，他的弟弟屈突盖也和他一样。当时流行的话说：‘宁食三年艾，不见屈突盖；宁食三年葱，不逢屈突通。’可见他的剽悍。唐高祖起兵的时候，屈突通正为隋朝守山西永济。他率部队去救京师长安，被唐高祖部队困住。唐军派他的家僮劝他投降，他不肯，把家僮杀了；又派他的儿子劝他投降，他也不肯，阵前骂他儿子说：‘以前同你是父子，今天是仇人了！’立刻下令用箭射他儿子。后来京师陷落，唐高祖部队派人去心战，屈突通的部队哗变，他下马向东南磕头大哭，说：‘我已经尽了全力，还是打败了，我对得起你皇帝了！’遂被部下解送到唐高祖面前。唐高祖说：‘何相见晚耶？’劝他投降，屈突通说：‘我不能做到人臣该做到的，不能一死，所以被你抓到，实在丢脸。’唐高祖说：‘你是忠臣。’立刻派他做唐太宗的参谋总长。天下大定后，唐太宗在凌烟阁画二十四功臣像，屈突通也在内。——屈突通被解释做是隋朝忠臣，也是唐朝忠臣，理由是惟其一心，虽跟两君也是忠臣。所以，屈突通死后，魏征提出屈突通是‘今号清白死不变者’，他的忠心可靠，为唐朝上下所钦服。但是，屈突通同时代的另一个例子，又有了讨论的余地，那就是尧君素。尧君素曾是屈突通的部下，屈突通投降后，跑去招降他，大家见了，两人都为之泪下。屈突通说：‘我的部队打垮了，但我加入的是义师，义师所至，天下莫不响应，事势已如此，你还是投降吧！’尧君素说：‘你是国家大臣，你怎么可以这样？你看你骑的马，还是上面赐给你的，你好意思还骑它吗？’屈突通辩白说：‘咳，君素，我已经尽过全力了！’尧君素说：‘我还未尽过啊！我还有力量可尽啊！’于是尧君素死守不降。唐朝部队在城下，抬出他太太来劝降，尧太太说：‘隋朝已经亡了，天命属意谁做皇帝也明白了，你干嘛跟自己过不去？’尧君素说：‘天下事，非妇人所知！’说了就给他太太一箭，把太太射倒。——同时两个人，前面屈突通射儿子；后面尧君素射太太，中国的忠臣自己还没尽到忠，却先将家人做了血祭！在历史上，尧君素入了《隋书》，屈突通却进了《唐书》，同时代的人，分别编进了不同时代的历史，为什么呢？为的是尧君素为隋朝力屈而死，他是隋朝的人；屈突通为隋朝力屈而未死，他就不是隋朝的人了。但在情理上，屈突通尽过全力的纪录，却又无碍其为忠臣，这又怎么说通呢？合理的解释是：屈突通在尽过全力以后，他所效忠的对象，已不存在了；而新兴的统治力量，是天意与民意所归的。他所效忠的对象，也并不比新兴的统治力量进步。他再挣扎，也‘功未存于社稷，力无救于颠危’。所以，他就在新朝里为国尽忠了。
BJFS008,北京法源寺,beijing_fayuansi,奕詝打猎空手得位,BJFS_005_26;BJFS_005_27;BJFS_005_28,005.第四章——西太后.txt,51-55,279,"清朝的家法，皇帝位子是父亲传儿子，但没规定一定传给老大。当时候选人有他弟弟奕訢，奕訢比他行，以致他父亲宣宗始终无法决定。有一次他们去打猎，弟弟奕訢满载而归，可是他却两手空空，他的师傅教他，等下皇上问你为什么这样没用，你就说：

“春天是万物生长的时候，杀生对天地和气有害，所以宁肯空手回来。”

这一说词，使皇帝觉得他比弟弟稳重，所以决定由他做皇帝，弟弟做恭亲王。如今他若死了，他的儿子只有六岁，恭亲王多少令他不安，所以他在死前一天，在宣布他儿子继承皇位的同时，宣布怡亲王载垣、郑亲王端华和肃顺等八个人为赞襄政务大臣，一齐辅佐他儿子。八个人里面，没有恭亲王。"
BJFS009,北京法源寺,beijing_fayuansi,广东船广字头索还,BJFS_006_12,006.第五章——康进士.txt,23-23,318,另一方面，战争时的同仇敌忾心态，在中国方面，也是一绝的。在战争开始时候，日本方面，自天皇以下，大家忙着听军情；可是中国方面，却自西太后以下，大家忙着听戏。好像仗是别人打的。这种心态，等而下之起来，也就笑话百出。以海军而论，中国海军分派系，分出北洋系、南洋系、闽南系、粤洋系，各搞各的。甲午战争前，中国举行海军大检阅，粤洋系派来“广甲”、“广乙”、“广丙”三条船。不料检阅没完，战争突然爆发，这三条船就被留下，以壮声势。战争下来，“广甲”搁浅、“广乙”打沉、“广丙”投降。战争过后，粤洋系的头子竟写信给日本受降将军，说这三条船都有“广”字头，是属于广东的船，本就和这次战争不相干，请你看在我们广东是局外人的面上，把“广”字头的船还给我们！
BJFS010,北京法源寺,beijing_fayuansi,虞愿说湘宫寺无功德,BJFS_008_17,008.第七章——回向.txt,33-33,221,“我也一样，我们是志同道合了。我对佛法喜欢研究，也喜欢逛逛寺庙。可是，总觉得寺庙跟佛法的真义，有许多冲突的地方。宋明帝起造湘宫寺，他说‘我起此寺是大功德’，可是虞愿却说了真话，他说：‘陛下起此寺，皆是百姓卖儿贴妇钱。佛若有知，当悲哭哀愍。罪高佛图，有何功德？’像湘宫寺这种寺庙，古往今来也不知有了多少，可能寺庙盖得愈多愈大，离真正的佛门精神反倒愈疏愈远。当然，这座法源寺有点例外，它本来是唐朝的忠烈祠，一开始并没有这种大雄宝殿式的佛教气氛。”
