id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LADZ001,李敖颠倒众生,li_ao_diandao_zhongsheng,古人倒看榜成第一,001#P11,001.20000508从敖之吾兄说起.txt,21-21,155,中国古代有一个人他去考试，考试以后，放榜的时候他得到了最后一名，人家就笑他说你最后一名。他就做了一幅对联，就表示他的心境，这个对联是说：至矣尽矣，方知小子之名；颠之倒之，反在诸公之上。我看榜看到头了，我才知道我的名字。为什么呢？我考到最后一名。可是如果我从最后一名往前看，我是第一名，我倒数第一，我也是第一名。
LADZ002,李敖颠倒众生,li_ao_diandao_zhongsheng,穆生见醴酒不设便离开,004#P4,004.20000515扁现象.txt,7-7,360,古代有一个故事，就是汉高祖刘邦有个弟弟就是汉元王，当时他敬礼对深宫这些有头有脸的知识分子开始尊重他们。可是其中穆生这位老先生，他不喝酒的。元王每一次吃饭，都给他放醴酒，醴是什么东西呢？好比说湖南有个地方叫醴陵，醴是一种甜酒也不算酒，只是发酵一月就拿出来有一点甜的等于甜水了。可是后来忘记设这个甜酒给他了，这个穆生后来就说，我可以离开了。他不把这个甜水给我喝，表示他在对我的尊敬怠慢了。我现在如果不离开的时候，这个楚人将公开羞辱我，然后就装病躺在那里不肯了。然后申公、白生强迫他坐起来，跟他说，为什么不想想前任统治者对我们的好意呢？今天的统治者，只不过是不小心的没有把甜酒给你，你怎么就要离开呢？可是穆生说，要知道有这种征兆出现了，这才是我们的本领。我不是区区为了这么一个小的礼节不妥当，我是要求一个重要的大家相处的标准。
LADZ003,李敖颠倒众生,li_ao_diandao_zhongsheng,钱穆考证被银雀山竹简推翻,007#P4,007.20000518文物有灵，史料有鬼.txt,7-7,428,过去有一位有名的历史家叫做钱穆，他曾经做了一部书叫做《先秦诸子系年考辩》，就是他考证中国古代的孙膑和孙武这两个兵法家其实是一个人，孙武就是孙膑，孙膑就是孙武，他特别在他的学术著作里面做了这个考证。可是结果是什么呢？结果在中华人民共和国成立以后，在山东省银雀山考古的时候，挖掘出来一个汉朝的古墓。在这古墓里面发现了两部兵法，一个叫做《孙子兵法》，就是《孙武兵法》，另外一部叫做《孙膑兵法》。大家想想看，如果孙武和孙膑是同样一个人的话，怎么会有两部兵法呢？证明什么呢？证明了孙武和孙膑不是同一个人。可是来不及了。为什么来不及呢？钱穆已经变成史学家，他当年的考证使大家信服了。结果他绝对想不到，在他的内容发表几十年以后，在他成名了几十年以后，山东省的银雀山忽然发掘出来一个汉朝的古墓，里面出来两部古书，把他的理论全部给打碎，全部给推翻。证明什么？证明文物有灵，史料有鬼，就是他做梦也想不到怎么会阴差阳错，在多少年以后会挖掘出来一个汉朝的古墓，然后把他的理论推翻。
LADZ004,李敖颠倒众生,li_ao_diandao_zhongsheng,乔路易不把拳头打小流氓,009#P13,009.20000522追杀李登辉.txt,25-25,443,美国以前有一个有名的拳王叫做乔路易，他本人是很会打拳的。他到台湾来过，没有人能跟他打拳。后来在美军工顾问团一个上校，他很会打拳，他上台跟这个乔路易外号叫做褐色轰炸机，跟他较量一下。结果一上台，还没伸出拳来，就被乔路易一拳撂倒了。有一次乔路易跟他朋友们一起出去玩，碰到一堆流氓，这批流氓有眼不识泰山，不晓得对面里面有一个人是世界拳王，然后找麻烦故意就打过来了，他的朋友们就跟对方打起来了。乔路易在旁边不吭气，不动手，像我李敖一样抱着个书包。有人过来打他，他一闪躲，根本打不到，因为他动作太快了。朋友对他说，老乔你赶紧打啊。老乔说我不能打。为什么不能打？两个原因，第一，我这个拳一出拳就三百磅，三百磅的力量会把别人打死的。对方不被打死原因，因为他是重量级的一个拳王，他可以挡住我这三百磅的拳。我一出拳就三百磅，会出人命的。第二，我一场拳赛，我打一拳值两千美金，我这两千美金是打对方是拳击手的，我们打拳是赚钱的，我这两千美金的拳头不是打小瘪三的，不是那种打小流氓的。所任他们打架，我不要打架。
LADZ005,李敖颠倒众生,li_ao_diandao_zhongsheng,日本文官怕分发到韩国,009#P16,009.20000522追杀李登辉.txt,31-31,195,日本人在考试高考考完了分发的时候，他们要分发到殖民地做文官，分发到台湾来的人兴高采烈，分发到韩国的人愁眉苦脸。为什么？韩国人有正义感。韩国人的民风强悍，不容易统治。结果在1945年日本人投降的时候，在台湾的日本官吏通通都回家了，乖乖的安全的回家了。可是在韩国的日本官吏，很多人很多人很多人都杀掉了。为什么韩国人这么凶？为什么韩国人敢追究他们的总统贪污，追究他的总统内乱？就是韩国人有正义感。
LADZ006,李敖颠倒众生,li_ao_diandao_zhongsheng,范子文说连杨森都跑掉,010#P9-10,010.20000523解读示范.txt,17-19,840,"这个范子文当时有个有趣的事情，他被关起来过去有一个原因，其中一个原因就是当年参加亚洲运动会的时候，台湾队去了，好比说那时候有所谓亚洲铁人杨传广去了。当时那个名誉带队叫做杨森。杨森是什么人呢？杨森是国民党里面一个大军阀，他活了90多岁，甚至在90岁这年，还登了玉山。他最有名的就是他身体极好，老婆极多，儿女也多，四川的军阀。因为他身体好，所以大家把他当成了宝，当成负责台湾体育界的龙头人物。就由他带队，可是他老头子怎么能带队呢？骨子里面就派调查局的处长这个范子文来带队，就是来控制这些队员。结果在亚运的时候，在国民党眼里就是不幸，一个队员投匪了。投匪时候，他们吓得不得了！就赶紧紧急集合，紧急集合的时候，杨传广晚了一个小时回来，别人吓的赶紧紧急集合清点人数了，怎么人不见了。这时候大将杨传广也不见了，结果杨传广晚了一个小时回来。然就范子文在杨传广进门的时候，当众一个耳光打过去，就打了亚洲铁人杨传广一个耳光，就是说他生气、紧张，就是万一你跑了怎么得了。然后后来他回来以后，他也被别人打报告，这个范子文。他本来是押队的，他还被打报告，打报告是说当时有的人跑掉了，甚至杨传广都晚了一小时。结果他对这个报告要答复、要解释，他的解释很有趣，他说幸亏我范子文去，如果我范子文不去，但是我们那个队员跑到了北京，连我们的名誉队长杨森将军，他也都逃掉了。意思就是说，要不是我把他们全部看住，给了杨传广耳光，我不把这个局面控制住都跑掉了，幸亏是我去，不然都逃掉了。当然，最后这句话传到杨森将军耳朵里，杨森将军很不高兴，什么意思？混蛋！你怎么说我也会跑掉呢？结果报告打到蒋介石那里，结果他垮台了。

我讲的这个笑话，就是讲到刘泰英这句话，就是说国民党没有李登辉，垮的更快啊！这反过来不就是范子文那句话吗？如果不是我去东京，连杨森将军都跑掉了，亚洲运动会的选手垮得更快，跑得更光。能这样说吗？所以我觉得刘泰英真有趣，我们这位小老弟，我这个老同学，我的被告，他真的有幽默感，他能讲出这种叫我们哭笑不得的话。"
LADZ007,李敖颠倒众生,li_ao_diandao_zhongsheng,雷啸岑笑说干脆选蒋介石做皇帝,010#P13,010.20000523解读示范.txt,25-25,240,这个老人活了年纪很大，他跟我讲个笑话，当年他发现了总统就是六年连任一次，每次他们选蒋介石就这样子，平常当国外代表，当老贼养着；等到了这个选举的时候，开会另外给加钱，所以就是贿选嘛！平常养着，六年以后多给一些钱选蒋介石，然后再养六年，再多给一次钱选蒋介石。他就跟他的朋友开出玩笑说，这样太麻烦了，不如我们跟蒋介石商量，你干脆给我们一大笔钱，好大好大好大的一笔钱，我们也不要六年选你一次；我们干脆选你做皇帝，不要做总统了，你是皇帝，你终身做皇帝得多爽多精神呢？当然这个构想是开玩笑的。
LADZ008,李敖颠倒众生,li_ao_diandao_zhongsheng,《亚玛》妓女为革命筹钱,013#P13,013.20000529警告新闻局.txt,25-25,433,这个是什么故事呢？我告诉大家是俄国的一个有名妓院，有一天来了一个身材好的不得了，脸蛋漂亮的不得了，皮肤好的不得了的一个姑娘，要下海做妓女。那个开妓院的老鸨子欢迎死了，这么好的货立刻就欢迎她，然后她就接客。门庭若市，到处生张熟魏，发了好多财，高兴的要死。这个女孩子叫玛格达林，玛格达林有一天就跟其他的妓女一起聊天，聊天的时候就说，你们知不知道，姐妹们，我还是处女。大家笑起来了，你接了这么多的客，你怎么还是处女呢？她说我是处女。为什么我是处女？我告诉你，你知道我是什么人吗？你知道我是干什么的吗？老娘是共产党。我现在干什么？我们现在革命要推翻这个腐败的帝国政权，我们要革命了，我们需要钱，需要经费。没有钱，所以我这个伟大的共产党，我下海来卖身赚钱，搞了钱去支援我们革命，来救国救民，懂吗？这个时候我赚的钱，完全是伟大的道德目的。可是在生理上面，我被男人肏来肏去不是吗？可是在我的精神上面，我就是处女。我生理上一点小变化而已，它插进来又怎么样，跟摸我手一样，有什么不同？
LADZ009,李敖颠倒众生,li_ao_diandao_zhongsheng,武二爷轿中说花书,014#P6,014.20000530怎样面对红墨水？.txt,11-11,216,刚才我讲过这说花书的，就说到了武松武二爷，这武二爷在轿子里面待着无聊，就开始打手冲玩。可是因为武二爷体力太好了，他在射精的时候长城射精就从这个轿子帘子冲出来。就冲到什么地方呢？冲到了那个前面抬轿子的那个人背上面，抬轿的人这个背忽然就来了很多白白的湿润的，新闻局局长钟琴所要查禁的精子，就跑到了前面人的背上去了。可是那抬轿的因为夏天光背，因为太热了，就整个背都是武二爷的这个金子。说花书的说武二爷在里面打手冲，结果射出来了一背一脊梁。
LADZ010,李敖颠倒众生,li_ao_diandao_zhongsheng,李师科抢银行给小女孩,015#P15,015.20000531红墨水怎样面对？.txt,29-29,484,有一个老兵叫李师科，他抢了银行的钱以后，干什么呢？不是自己花。干什么呢？他喜欢邻居家的一个小女孩，不是爱情的喜欢，小女孩只有两岁。老兵李师科被抓来当兵，老了以后把他赶走退伍，就给他一点钱，没法生活。要到巴西去当一个工人，不让他出镜。他没办法，就开计程车。非常好的一个老先生，大家邻居住在一起，他也没有家，也没有老婆，什么都没有，就觉得邻居两岁的小女孩很可爱。他说我给她搞一点钱，将来可以好好给她念书，什么方法呢？他说去抢钱。抢什么钱？抢银行的钱。所以他很有趣，他就跑到银行来，他搞了个枪去抢钱。先喊：搞清楚，钱是国家的，命是自己的，我抢钱你们不要拦我。大家不敢拦，抢了四百万。抢了四百万要怎么办呢？政府破不了案，为什么呢？因为他没有任何前科。政府要破案的时候，找坏人可以案。他没有前科。那怎么办呢？可是他自己把这个案子给泄露了。怎么泄露呢？他就把这个钱给这个小女孩子，怎么给呢？就拿了400万，就给了小女孩子爸爸家里人。他知道他们会告密，可是注意，告密的时候可以分到一半的奖金。就是你把我出卖了以后，你们还可以分到200万给这个小女孩。他做了这么件事情，后来被枪毙了。
