id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LADHL001,李敖对话录,li_ao_duihualu,甘地发动抢盐运动,LADHL_001_74,001.才华盖世侠骨柔情的思想家.txt,147-147,217,甘地发起抢盐运动时，很多人说他心肠狠。那时英军对盐是管制的，这样群众才容易就范。甘地于是发动男女老少去抢盐，英军守住盐库，对着成千上万逼近的群众开不了枪，因为他们不暴动嘛！只是往前挤。英军只好挥起棒没命的打，打得他们头破血流，可是前一排打倒了，后一排的人又挤上去。甘地面对这种惨状，无动于衷，还是让他们继续抢。当为了一个大目标献身奋斗时，甘地只能无动于衷。他说：“我们今天要吃这么多苦，那是因为我们吃的苦还不够，我们做的牺牲还不大”。
LADHL002,李敖对话录,li_ao_duihualu,陈平说从来没有哥哥,LADHL_001_91,001.才华盖世侠骨柔情的思想家.txt,181-181,77,陈平就是一个例子，每个人都说陈平偷嫂子。有一天，连皇帝也忍不住了，就问他到底是怎么回事。陈平回答：“我从来就没有哥哥。”可是，这个谣言还是跟了陈平一辈子。
LADHL003,李敖对话录,li_ao_duihualu,张之洞禁用经济,LADHL_002_81,002.对是非绝对是不让步的.txt,161-161,104,有一次，“中学为体、西学为用”的大师张之洞发现一位幕僚的签呈上有“经济”两个字，于是他批了评语说，“经济”两个字是“日本名词”，不要用“日本名词”。这位幕僚反驳说：“日本名词”其中的“名词”两个字也是日本文。
LADHL004,李敖对话录,li_ao_duihualu,刘三变汉高祖,LADHL_004_30,004.吐他一口痰.txt,59-59,106,汉高祖没当皇帝以前，在家乡叫“刘三”，是个混混，就是买花生米不给钱、喝酒要欠账的那种瘪三。元明杂剧里头说，刘邦当了汉高祖，回到家乡时，地方上的流氓都很奇怪，怎么搞的？他不是“刘三”吗？“道是刘三，说什么汉高祖？”
LADHL005,李敖对话录,li_ao_duihualu,项羽杀宋义出兵,LADHL_004_92,004.吐他一口痰.txt,183-183,125,秦汉时代，在一次救援友邦的战争中，各国军队都已经到了，可是没人敢跟秦军作战，大家都作壁上观。楚军开到时，他们的上将军宋义说：“我们也不打，谁喊打就罚谁。”可是项羽还是喊打，宋义要处罚他，项羽就把宋义杀了，然后带兵打退了秦军，项羽的天下就是这样打来的。
LADHL006,李敖对话录,li_ao_duihualu,刘伯温劝先打陈友谅,LADHL_004_93,004.吐他一口痰.txt,185-185,169,我再举另外一个例，元明时代，朱元璋、陈友谅和张士诚三巨头打天下时，朱元璋想出兵打张士诚，他的军师刘伯温就劝他：“你如果打张士诚，陈友谅一定会来救，等于一个打两个。不如先打陈友谅，张士诚是个‘自守虏’型的小子，只管自己门前事，他一定没有眼光救陈友谅，一定没想到你会各个击破。”朱元璋听了刘伯温的话，果然先打垮了陈友谅，回过头又消灭了张士诚。
LADHL007,李敖对话录,li_ao_duihualu,韩信说多多益善,LADHL_004_139,004.吐他一口痰.txt,277-277,72,有一天，刘邦问韩信：“你能带多少兵？”韩信说：“多多益善，不管多少我都能带。”刘邦就说：“那我怎么办呢？”韩信回答：“你是带将的，不是带兵的。”
LADHL008,李敖对话录,li_ao_duihualu,乾隆为十全再打准噶尔,LADHL_004_173,004.吐他一口痰.txt,345-345,93,再说到和平，中国过去的记录，有很多是不爱和平的，像乾隆皇帝已经打了九次，可是他还嫌不够，因为他要凑足一个十字，所以又出兵再打一次准噶尔，好贏来十全老人的雅号。你说，爱好和平的人会这样吗？
LADHL009,李敖对话录,li_ao_duihualu,木偶说因为有人教,LADHL_006_27,006.论国民党的美感.txt,53-53,39,木偶戏中人和木偶对话，人问木偶：“你为什么这样笨？”木偶说：“因为有人教我。”
LADHL010,李敖对话录,li_ao_duihualu,阿登纳拒纳粹被诬,LADHL_013_9,013.“却笑英雄‘有’好手，一江春水走曹瞒”.txt,17-17,163,我举阿登纳做例子，阿登纳在纳粹势如中天时，担任科隆市长，他反对纳粹党在政府机关胡闹，结果纳粹一火大，干脆把他拉下马，逼他住到修道院，把他太太弄出来诬告他，还找了一个职员在法院说他贪污。但德国垮掉以后，英美联军要找一个没有跟纳粹合作过的，但是，竟然找不到这样的人，因为全都跟纳粹合作过，最后只找到一个，就是阿登纳，他已经老掉了。
