id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LAFTL001,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,陈毅说友谊像鸡蛋,LAFTL_001_90,001.19850412《民主天地周刊》专访李敖.txt,179-179,65,共产党的陈毅从苏联回到北京，日本记者问他，中国跟苏联的友谊有没有裂缝？他说“我们友谊像鸡蛋一样没有裂缝”——没有裂缝，可是很脆弱。
LAFTL002,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,欧阳修重刻醉翁亭记,LAFTL_006_16,006.199810《跨海看台湾》专访李敖.txt,31-31,128,欧阳修都会，你看《醉翁亭记》，他原文是“临溪而渔，溪深而鱼肥；酿泉为酒，酒洌而泉香。”原来是这个句子。他刻石碑刻好，刻上以后，他觉得这个句子不好。“酒洌而泉香，不如泉香而酒洌”，为什么呢，“洌”字是第二声，“泉香”是第一声，“洌”字好。所以把石碑敲掉重刻。
LAFTL003,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,刘贡父反问王雱神童,LAFTL_006_18,006.199810《跨海看台湾》专访李敖.txt,35-35,120,你看中国古人，王安石他有个儿子叫王雱，它是下雨的雨字下面一个四方的方字，这个字念pang，王雱。王安石就跟刘贡父，他的好朋友说，他说我儿子是神童，王雱是神童，看书看一遍就记住了。这刘贡父就反问王安石说，哪家的儿子是看两遍啊？我儿子也看一遍。
LAFTL004,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,颜驷三朝不合拍,LAFTL_006_23,006.199810《跨海看台湾》专访李敖.txt,45-45,299,汉武帝在巡视的时候，到一个郎官署、郎署，小官的那个，看到一个老郎官给他磕头，汉武帝奇怪，说你这么老了怎么还做这么小的官呢？这个郎官颜驷，颜色的颜，驷是驷马难追的驷，颜驷就报告汉武帝，他说我在你祖父时代就做这个官哪，你的爸爸时代我也做这个官。就从文帝做这个官，景帝做这个官，汉武帝时还做这个小郎官。汉武帝问，你为什么一直不升官呢？这么倒楣呢？他说我在你爷爷时代啊，我是军人，你爷爷喜欢文官，“文帝好文臣好武”，我喜欢（当）武官。所以一直吃不开。你爸爸时代呢，“景帝好老臣年少”，他喜欢老年的大臣，我年纪太轻。到了你这一代呢，“陛下好少臣又老”，你喜欢年轻，我又老了。跟你们三代搭配不上，所以一直倒霉。
LAFTL005,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,老祖母回想孙女快乐,LAFTL_006_27,006.199810《跨海看台湾》专访李敖.txt,53-53,179,我看过一个故事，一个老祖母，她的孙女死掉了，可是呢，大家看她表情没有很难过的表情。有一个人忍不住就问她，你孙女死掉了，你好像很达观的样子。她说没有错，她说我的未来是指日可数，哪天死随时都想得到的，她说每1个小时我都很珍惜。我花1小时去哭我的孙女、小孙女，我去痛苦，不如去花这1小时去回想我跟她在一起快乐的时光。我们一起吃冰淇淋，一起在树后面捉迷藏，也很好吗。
LAFTL006,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,约翰生说值得看不值得跑去看,LAFTL_006_35,006.199810《跨海看台湾》专访李敖.txt,69-69,252,他的学生鲍斯威尔就跟他讲，老师我们去爱尔兰去玩，他说不去。别人说，到都柏林去玩，他说不去，他说那是一个烂城我不去。他的学生跟他讲，爱尔兰北部有些风景区叫吉斯考斯威，Gints' causeway是什么地方呢，就是火山爆发的时候出来很多的岩浆，喷出来的时候碰到冷空气或海水，立刻凝结了，凝结了变成很多怪石头，每个石头都有六个角，一片，都是那个六角的怪石头，很好看。所以，这鲍斯威尔，学生问这个老师约翰生说，这个Gints' causeway可以去看吧，值不值得看？约翰生说，值得看，可是不值得跑去看（笑）。
LAFTL007,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,哈台卖牙签也算木材业,LAFTL_009_9,009.19990819《中国时报》专访李敖.txt,17-17,113,就像著名电影明星劳莱与哈台，有个朋友问劳莱，你从事什么生意，劳莱说，从事木材生意；那个朋友问哈台，你从事什么生意，哈台说，他也是从事木材业。那个朋友再问哈台，你卖什么的，哈台说，我是卖牙签的，“in a small way.”
LAFTL008,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,凯撒的三月十五还没过去,LAFTL_009_33,009.19990819《中国时报》专访李敖.txt,65-65,107,过去凯撒大帝打胜仗回来，有个算命的告诉他，“当心3月15日！”到了3月15日，凯撒大帝要进去国会前，又碰到这个算命的，凯撒笑说，今天就是3月15日，你算命不灵；算命的说：“今天还没过去！”结果凯撒一进去就被杀掉了。
LAFTL009,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,丙吉不问杀人问牛喘,LAFTL_011_20,011.19990828-0903《TVBS周刊》专访李敖.txt,39-39,119,汉朝有个宰相叫丙吉，路边有流氓杀人，他视若无睹，人家问他你不管吗？他说这个事是马英九（用现在的官位来说）管的嘛，我是行政院长不管小事，结果再往前走，看到牛在喘气，喔！这个是大事，因为这个气候牛不该喘气，会影响农作收入，所以大臣是管大事的。
LAFTL010,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,李远哲停车也被歧视,LAFTL_012_55,012.20000111《中国青年报》专访李敖.txt,109-109,81,我讲个故事给你听：我的一个同学叫李远哲，他得诺贝尔奖以后，学校停车场特别给他画出一个车位，表示优待他。他停车时被警察干涉，说你是什么人可以在这里停车？他都被歧视。
LAFTL011,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,谢冰莹最后一次送饭,LAFTL_014_8,014.20000412《TVBS周刊》李敖对谈.txt,15-15,70,谢冰莹在书中曾提到，她丈夫坐牢时，她为丈夫送饭，最后再也受不了、送不下去了，心想：“这是我最后一次送饭给你了。”后来就不再送，丈夫也被枪毙。
LAFTL012,李敖访谈录1990-2018,li_ao_fangtanlu_1990_2018,徐世勣割股喂单雄信,LAFTL_022_71,022.20010604《新华网》专访李敖.txt,141-141,265,唐太宗打天下的时候有个大将叫做徐世勣，当时群雄并起，天下逐鹿。徐世勣有一个哥们，属于生死之交，叫单雄信，他属于跟别的集团。结果统一了以后，单雄信被抓起来要杀头。徐世勣跟唐太宗求情，说我帮你打天下，你会给我大官做。我大官还给你，我不做了，换我朋友一条命。唐太宗说不行，桥归桥路归路，要杀他。徐世勣就跑到单雄信面前，单雄信已给捆起来，准备行刑了。拿刀子，徐世勣把自己大腿肉割下一块来，喂他单雄信吃，讲了一句话：“此肉同归于土”。你要死了，你要变成土了，我割一块肉，跟你一起入土，因为你是我的好朋友，我救不了你，可是我的一部分跟你去死。
