id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LAHYL001,李敖回忆录,li_ao_huiyilu,张乐平为冻死难童画三毛,005.上海（1948-1949·13到14岁）.txt#P18,005.上海（1948-1949·13到14岁）.txt,35-35,225,张乐平在1947年年初的一个刮北风晚上，从外归来，路过一个弄堂口，看到三个难童，紧紧的围在一起，中间有一堆小火，他们靠着这点火，取暖求生。张乐平在他们附近站了许久，心里很难过，但却力不从心，没办法帮助他们。回家以后，躺在床上不能入睡，心想这三个难童，究竟能不能熬过这一夜呢？第二天清早，他又走过那弄堂，可是三个难童中，两个已经冻死了。张乐平说：“我想到这样冻死的儿童何止千万，我做为一个漫画工作者，决心用我的画笔，向不合理的社会制度提出严厉的控诉。”
LAHYL002,李敖回忆录,li_ao_huiyilu,曹梓华转述请瞄高一点,008.军队（1959-1961·24到26岁）.txt#P17,008.军队（1959-1961·24到26岁）.txt,33-33,158,有个老兵叫曹梓华，永远是笑嘻嘻的。他告诉我一个故事：“我们有一次被共匪俘虏，女匪干热烈招待，劝我们留下来一起打国民党，我们不肯。她们就放我们回来，临走让我们大吃大喝，还送路费。最后说：‘你们回去后，国民党还是会把你们抓来当兵的。下次在战场上见到我们，在瞄准时候，请瞄高一点。’”——共产党化敌为友，高明细腻有如此者！
LAHYL003,李敖回忆录,li_ao_huiyilu,妓女抓走连长帽子,008.军队（1959-1961·24到26岁）.txt#P22,008.军队（1959-1961·24到26岁）.txt,43-43,110,“军中乐园”在上班时间生意较淡，有当街拉客的。有一次连长路过，一个妓女从旁窜出，抓走他的帽子就往里跑，他追进去，该妓女把他冲到床上，在他身上一阵功夫，最后讲评说：“连长，你看，你的鸡巴硬了，打一炮吧！”连长就只好打一炮。
LAHYL004,李敖回忆录,li_ao_huiyilu,尹俊嘉奖哨兵,008.军队（1959-1961·24到26岁）.txt#P23,008.军队（1959-1961·24到26岁）.txt,45-45,261,“军中乐园”引起的性病问题很严重。17师中流传一个笑话，老长官尹俊（后来做到警备司令，蒋介石归天之夜，正陪姨太太睡觉，蒋经国临时找不到他，从此被黜），一天晚上私行查哨，正好碰到一个哨兵在“打手铳”（手淫），被抓到后，哨兵吓得半死。尹俊说，明天开朝会时我叫你名字，你就给我站出来。第二天开朝会，尹俊喊哨兵名字，哨兵硬着头皮，应声而出，以为必受严罚。不期尹俊当众颁发奖金给哨兵，说：“这哨兵不逛‘军中乐园’，而以‘打手铳’代替，这样才卫生、卫生啊卫生，应该嘉奖！”顿时台上台下，哄成一片，咸谓大老粗尹俊真是快人快语、妙人妙事。
LAHYL005,李敖回忆录,li_ao_huiyilu,老兵问蒋经国穿袜洗脚吗,008.军队（1959-1961·24到26岁）.txt#P24,008.军队（1959-1961·24到26岁）.txt,47-47,105,“军中乐园”虽然要求阿兵哥要带卫生套，但是很少有人愿意。有一次，蒋经国（当时身份是国防部总政治部主任）问一个得了性病的老兵：“你为什么不戴保险套？”老兵夷然答曰：“报告蒋主任，你穿袜子洗脚吗？”蒋经国闻之语塞。
LAHYL006,李敖回忆录,li_ao_huiyilu,潘毓刚炮火外训话,008.军队（1959-1961·24到26岁）.txt#P32,008.军队（1959-1961·24到26岁）.txt,63-63,102,潘毓刚非国民党，被分发到金门当排长，老兵们说预备军官没种，一天共产党炮弹打来，潘毓刚突然召集大家，到碉堡外面训话，这时外面炮弹齐飞，大家吓坏了，可是潘排长却若无其事。此后人人说我们排长真勇敢，人人都服了。
LAHYL007,李敖回忆录,li_ao_huiyilu,于右任找不到自己的签名,010.文献会（1962-1963·27到28岁）.txt#P45,010.文献会（1962-1963·27到28岁）.txt,89-89,316,有一次，文献会重金买到中国同盟会中部总会的原始文件，是当时秘密会议成立的签名册，上面有宋教仁等人的签名。陶希圣很高兴，拿去请于右任题字。于右任一看，签名册中没他的名字，很不开心，他说他记得明明参加了革命，怎么没有他？他不是“开国元勋”吗？怎么这样一个重要的会议，居然没有他的名字呢？陶希圣回来，找到我，请我仔细考证考证，到底是历史错了，还是于右任错了。我仔细考证后，结论如下：那一次，于右任没参加。为了使于右任没话说，我列举出每一项证据，证明他老先生真的没参加。我不知道最后陶希圣怎么回话的，我只知道于右任“为之不寐者数日”。我真抱歉，以我的学问，实在找不出他参加的历史，这种抱歉持续了几天，直到我被文献会扫地出门，我才停止了抱歉。
LAHYL008,李敖回忆录,li_ao_huiyilu,胡秋原叫成李匪帮,010.文献会（1962-1963·27到28岁）.txt#P66,010.文献会（1962-1963·27到28岁）.txt,131-131,71,胡秋原有一次在法院不称我之名，而叫“李匪帮”，我提出异议。后来才弄清楚，原来他叫我“李诽谤”，可是他的黄陂土话发音成“李匪帮”，所以吓人倒怪。
LAHYL009,李敖回忆录,li_ao_huiyilu,陈顾远法庭上帮倒忙,010.文献会（1962-1963·27到28岁）.txt#P66,010.文献会（1962-1963·27到28岁）.txt,131-131,73,还有一次胡秋原加请法学家陈顾远做他律师，陈顾远不知是老糊涂了，还是装疯卖傻、两面做人，竟在法庭上说我好话，并代我辩护起来，气得胡秋原再也不请他了。
LAHYL010,李敖回忆录,li_ao_huiyilu,老彭不肯打主人小报告,011.《文星》（1962-1966·27到31岁）.txt#P108,011.《文星》（1962-1966·27到31岁）.txt,215-215,119,当天下午5点，萧家的老佣人老彭（彭吉昌）留条子给萧孟能，请求介绍他另谋出路，晚上萧孟能问他，说你做了这么多年佣人，大家处得很好，为什么不干了？老彭痛苦地说：“在家里做不下去了！”——原来警总逼他打主人的小报告，他不肯做不义之事，只好求去。
