id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LAYM001,李敖语妙天下,li_ao_yumiao_tianxia,空城计退司马懿,003#P5,003.2009-01-05：我也说一回三国.txt,9-9,607,空城计是说，中国有一部书叫《三国演义》，三国演义这个小说是明朝出现的，它讲到在三国的时候，孔明就是诸葛亮施展过空城计。三国时候，孔明在前线跟魏国打仗的时候，前面军队出去了，他自己只带了五千人留在西城，留在后方，可是没想到，对方的司马懿，注意司马懿是不是长这个德行不可知。可是这个画像是明朝人，在《三才图会》这部书里面画出来的。他可能不是真的司马懿样子，明朝人没有见过。可是至少明朝人比我们离司马懿那个死鬼离得近。所以我们是用明朝人的想象来想象司马懿，真的司马懿什么样子我们不知道了。诸葛亮军队派到前面去了，后面自己守在西城。外国电影有一个叫做《西城故事》，就是西城。带了五千军队，还不足额。这时候啊，他的敌人司马懿带着上万的大军忽然过来了，十五万军队过来了。眼看诸葛亮和他的空城就要被占领了，大家吓死了，要救也来不及救。诸葛亮就做了一个办法，就是把四面城门打开，派阿兵哥装成农夫，穿老百姓的衣服在那里扫地，四面城门打开。司马懿来了以后呢，诸葛亮还在城门顶上摇着扇子，高高兴兴。那个时候如果有什么可口可乐可能还一边喝着可口可乐，就说，来来来，请你进来，你不是来打我吗？四个城门全开着，请你进来。你，司马懿，敢不敢进来，有种你就给我进来。是这么一个故事。结果司马懿很聪明，在担心，这个门能不能去啊？他不肯进去。就这么一个故事。司马懿老奸巨猾，碰到了另外一个诸葛亮也老奸巨猾。让他进空城，他不敢进去。这就是典型的空城计。
LAYM002,李敖语妙天下,li_ao_yumiao_tianxia,汉学家说诸葛亮是音乐家,005#P3,005.2009-01-07：曹操惊世骇俗的创举.txt,5-5,207,过去研究中国的一个外国历史学者，他写书说“诸葛亮是音乐家。”人家说你凭什么说诸葛亮是音乐家呢？他说，看到没有，他说：“管乐有才真不忝”，管仲乐毅是这个诸葛亮最佩服的人，在《三国志·诸葛亮传》里面也谈到了，你看看，“自比于管仲乐毅”。他不晓得管乐两个字啊，这个洋人，外国的历史学者，不晓得管乐是管仲跟乐毅，把它当作音乐的一个管弦乐，乐器。所以诸葛亮自比管乐就是诸葛亮会玩管弦乐，所以诸葛亮是音乐家，所以闹过这些笑话。
LAYM003,李敖语妙天下,li_ao_yumiao_tianxia,汉学家说陶渊明是斜眼,005#P3,005.2009-01-07：曹操惊世骇俗的创举.txt,5-5,215,还有一个笑话，也是外国的汉学家所说的，他说中国的诗人陶渊明，晋朝，他眼睛不是正常的，是斜眼，眼睛是斜的。为什么是斜眼呢？他说陶渊明有句诗可以证明，诗是说“结庐在人境，而无车马喧。问君何能尔，心远地自偏。采菊东篱下，悠然见南山。”就在这里了，在东篱之下采菊，东方的篱笆之下采菊怎么能够看到南山呢？可见有一个眼睛是斜的，一个眼睛看到东方，一个眼睛看到南方。所以“采菊东篱下，悠然见南山。”证明了陶渊明是斜眼的，所以陶渊明，叫做陶斜眼。
LAYM004,李敖语妙天下,li_ao_yumiao_tianxia,曹操疑华佗养病,005#P6,005.2009-01-07：曹操惊世骇俗的创举.txt,11-11,1149,曹操时代有一个有名的医生。我们在中医的这个店里，这个小的诊所里面，都看到华佗的一个，华佗再世，华佗。我们念，现在念法叫，从那个华国锋以后我们都念“化”，事实上还是念华，华佗。曹操呢，头疼，这个华佗就治他的病，那好了。好了，曹操以为没事了，过几天又疼，还要请他再看。曹操就恨他，认为什么呢？认为华佗有能力把他的病治好，可是他不让它好，不让它断根，为什么不断根呢？断根我就不重要了，你每次头疼都要找我，每次都要找我。所以曹操就很光火。华佗最大的本领就是他是一个，严格说起来他是个魔术师，他在《三国演义》说华佗戏曹操，那些动作全是魔术师的动作，说曹操碰到华佗有一种被羞辱的感觉，被耍的感觉。他头疼老是不好，曹操很多疑，就说他养吾病。什么叫养吾病啊？我本来没有病，他把我的病，养我的病，不是我来养我的病，他把我养着我这个病，永远不会好，可是永远不会坏，使我有求与他。中国过去有一句成语叫养寇自重，养敌人，敌人是你养的。我讲到《三国演义》里面的空城计的故事，空城计的故事，诸葛亮搞了空城他知道司马懿，他的敌人司马懿，聪明到也知道是空城，我是空城，可是他也进一步知道你司马懿不会进来抓我。为什么不进来抓我？因为我是寇，我是你们的敌人，你要养着我这个寇，你把我抓了以后，我的头被砍了之后，你的皇帝，你的主人也不喜欢你了，因为你没有用了，主要敌人被消灭了你就变成次要敌人。所以我诸葛亮永远不倒，永远在这里，永远是你的敌人，你养着我，要像养小老婆一样，你养着我你才能活，叫养寇自重。曹操认为华佗养病，养谁的病，养我曹操的病，永远使我头疼，永远不治好我的病，这样子你才能够在我面前永远很神气，因为我看到你我就头疼，请你治好我的头疼。有一次，终于把曹操给惹火了，曹操把华佗给杀了。中国古代最有名的医生被他杀了。杀了以后，有一个问题出现了，曹操的小儿子曹冲得了病快死了，曹操就后悔了，说当年我要是不杀这个华佗，他就可以救我这个小儿子。结果曹操就觉得他不该杀这个华佗。我们看这个历史，你看到没有。华佗死掉以后，太祖就是曹操说“头风未除”，头还疼。太祖曰：“陀能愈此”，华佗有本领治好我的病，“小人养吾病”，他把我的病养着不停，病个不停，“欲以自重”，你看养病自重，刚才我讲了养寇自重这个养病自重。“然吾不杀此子”，但我不杀这小子，“亦终当不为我断此根原耳”，他永远不会帮我治好，不让我断根，永远使我头疼，我非杀他不可。所以曹操就很后悔，就要杀他。“及（后来）后爱子仓舒（曹冲）病困”，快死的时候，曹操叹气说：“吾悔杀华佗”，我后悔杀了华佗，“令此儿”，教我的小儿子疆死，就是不得不死也。就是曹操杀了华佗以后，有一个重要的令他遗憾的后遗症就是他的小儿子仓舒，就是曹冲病的时候没有人来救他了。曹操想不到杀了华佗有这么严重的后果。
LAYM005,李敖语妙天下,li_ao_yumiao_tianxia,曹冲死后冥婚立后,006#P7,006.2009-01-08：从曹操到蒋介石.txt,13-13,667,现在我们又看到了，看到了曹操的故事。曹操的小儿子叫曹冲，就是我们叫称象的那个神童。曹冲13岁就死了，曹操为他做了两件事情，第一个给他讨了一个鬼婆，找了一个也死掉的女孩子做他的老婆，死了以后，死鬼对死鬼叫冥婚。第二个，曹操又给他找了一件事情，什么事情呢？就是找了一个后人，曹操找了另外一个儿子的儿子，孙子，就是曹操的孙子，过继过来给曹冲，死掉的曹冲，过继给他，就是虽然死了，还过继给他。这是什么？典型的中国民间文化，曹操全部做到了。我们先看历史上面，曹冲以后，我们看。曹操以后在唐朝开始冥婚。这是我李敖写的文章，注意啊。“有冥婚不稀奇，稀奇的是还有冥婚后的离婚”，结婚以后还让他们离婚，“唐朝的韦后为她弟弟与萧至忠的女儿结了冥婚，合葬以后”，韦氏，韦后这一支政治上垮掉了，萧至忠发墓，把坟打开，干嘛？把他的女儿挖出来。你过去，韦后你们有势力的时候我女儿嫁给你儿子，死掉的儿子；你垮了，我把我死鬼的女儿挖走我都不嫁给你。不但可以冥婚，还可以冥的离婚。“老泰山做了盗墓人！”这是我李敖的话。再看《元史》，《元史》你看到没有，那也是，死了以后呢。“舅曰”，舅不是舅舅，古代的舅的意思，舅的意思是公公。公公说：“儿子死了，我儿子死了，我的儿媳妇还年轻有一天会跑掉，将来我儿子死了在地底下难道做单身汉吗？所以要求冥婚。”怕他活的儿媳妇跑掉，所以要给他死掉的儿子还要冥婚，可见冥婚呢，刚才我举了例子，从唐朝到元朝一路相传不觉。可是历史上最有名的是曹操开始的。我们现在谈三国，说三国，要把这些中国文化的现象，要把它挖掘出来，这样子才有意义，才有深度。
LAYM006,李敖语妙天下,li_ao_yumiao_tianxia,灰色马英雄回国赴死,010#P9;010#P10,010.2009-01-14：两位英雄死前的奇行.txt,17-17;19-19,1075,"刚才我跟大家谈到西班牙内战，40万人逃亡出来，60万人被杀掉了，或者被打死了，在40万个逃亡者中间，有这个当年的共产党英雄，他跑掉了，这一次呢他要回到自己的祖国，大家看电影片子里面这个画面，就是这个小孩子跟这个落魄的共产党英雄，当时的电影明星叫做格里高利派克演的。这个就代表西班牙的警察总监，叫做安东尼昆，他演的。格里高利派克这个共产党的领袖答应小孩子要回西班牙，越过比利牛斯山的半途，碰到了一个穿黑袍子的人，就是奥马雪夫演的。奥马雪夫是什么人呢？是个神父。神父就告诉这个共产党的英雄，说你不要回去了，你妈妈已经死了，死在某一个医院里面，已经死了你回去干什么，不要回去了。

注意啊，他可以不回去了，跟他妈妈这个承诺无法兑现了，可是他又想到这个小男孩子。小男孩子希望他回去救国，要推翻军阀，推翻佛朗哥的伪政权，赤手空拳，他为了使小男孩子这个梦没有破碎，他还是继续往马德里走。马德里是西班牙的首都，当年被佛朗哥将军围城的时候，里边的共产党，这个城被围了三年，一个有名的叫《保卫马德里》，共产党很引以为荣的一个歌，就是这个歌，就来自马德里的故事。这个西班牙的共产党领袖，继续向马德里走，到了马德里，找到那家医院，他母亲停尸的那家医院，走进中央的大厅，忽然四边军人出来拿着枪，当场把他乱枪射杀，打死了。打死了以后，这个警察总监，军人的头子，就是安东尼昆演的，他就被透露了情报到他耳边，说有一个情报是说在半路上面那个神父奥马雪夫已经透露给他说你妈妈已经死了，你不要回去了。所以我们警察方面的情报是说他早晚要回来见他妈妈最后一面，是活着见，不是死了见，他妈妈已经死了，并且神父已经告诉他你妈妈死了，他为什么还要回来？所以最后这个电影，这个小说的布局就是这个军方的头子，警察的头子，他不了解，对着他的尸体看，你可以不回来，为什么你还回来。他不晓得他另外有一个目的，这个目的就是他为了使这个朋友的小男孩子，那个梦不要破碎。你以为我能回来救国，你以为我能回来推翻佛朗哥政权，你以为我能回来替你爸爸报仇，你这样以为。好吧，我就回来。回来，被打死了。这个故事就结束了，电影也结束了。《BEHOLD A PALE HORSE》，就是注意那匹灰色马，骑在马上的名字叫做死，启示录第六章第八节的故事，讲完了。这代表什么呢？这代表我没有意义了，我没有作用了，我这辈子革命失败了，我穷途潦倒了，可是忽然一个小男生，我过去同志的一个小孩子，他觉得我有希望，觉得我有意义，希望我能够回国，能够做惊天动地的事业。我就回去了。事实上，这是不可能的事情，可是为了一个小男孩子的梦，他回去了。"
LAYM007,李敖语妙天下,li_ao_yumiao_tianxia,项羽乌江赠马赠头,010#P13;010#P14,010.2009-01-14：两位英雄死前的奇行.txt,25-25;27-27,1619,"现在我谈到了，刘邦在表演约法三章以前他消灭了楚霸王，消灭了项羽，最后项羽被包围的时候只剩下28个骑兵，28个骑兵到乌江旁边，他不肯渡江过去，他跟这个船长说，说我骑的这匹马跟了我五年，我不忍心它死掉，这匹马送给你，然后我们这些，我跟我的这些手下，还有28个人，我们改成步兵，我们都不骑马了，因此他们都下马。这时候刘邦，就是汉高祖派来的大队人马就把他包围了，包围了不敢过来，因为项羽太勇敢了，大家不敢惹他，就把他包围。这项羽就看，忽然看到人里面有一个人在马上面是他老朋友，叫做马童，童是童子的童。项羽跟他说，你不是我老朋友吗？马童不敢看他，把脸闪过去。项羽呢还是继续讲话，说我听说汉王，就是刘邦买我的脑袋，悬赏我，要抓我的脑袋，拿我的脑袋，谁斩了我的头，“赏千金邑万户”，送一千金，那个金不是黄金是铜，送一千斤铜，封成万户侯，我做做人情给你好不好，当场自杀，把头自杀，丢下来，给他老朋友马童。就是临死以后，他要死了，他做一件奇怪的动作，给人想不到的，我很够朋友。

刚才我讲的那个故事，西班牙的那个共产党领袖，他自己无能为力，最后死的时候呢，可以死可以不死。照孟子的说法，为什么你要死，“可以死可以不死，死伤勇”，就是可以死，而可以不死，你要去死，对勇这个解释是一个伤害的。可是他为什么要去死？他觉得我死了算了，我可以帮助一个小男孩子满足他的梦。今天项羽就是，反正我死了，我死了之后呢我这个头送给老朋友吧。我讲这个故事，完了，请大家看这个司马迁写的原文，给大家看看。项羽，乌江亭长要他渡江，项羽说，“与江东弟子八千人渡江而西，今无一人还”，谁都没回去，纵使我过了江，“江东父兄怜而王我”，对我可怜我同情我，即使怜而王我，继续奉我做王，让我做领袖，当动词来用，“怜而王我”，“我何面目见之”，我怎么好意思回去啊，带了八千人死光，自己回去了，他说我不愿意回去了。他说，我骑我的马，这个马五岁，“所当无敌”，碰到别人都跑不过它，它也勇敢得很，“一日行千里”，我不忍心杀这匹马，“以赐公”，我送给你好了，“乃令骑”，他的剩下的28个人都下马步行，用短兵接战。可是呢，项羽还杀了汉军数百人，一个人还能杀几百个人，他这么厉害的一个人，他身上也受伤，“身被十余创”，有十几处伤，“顾见汉骑司马吕马童”，看到了刘邦手下的大员，姓吕的名字叫马童的，吕马童。项羽说，“若非吾故人乎”，你不是我老朋友吗？不是那个我的老朋友小吕吗？“马童面之”，注意这个文言文，我不讲你们不懂，“马童面之”，看到他把脸闪开避嫌疑，把脸闪开，马童面之。我要追个女孩子，这个女孩子不理我，这女孩子面之，就是不看你，注意这是文言文的趣味。对于年轻人而言，文言文就像外国文一样，很难的。“马童面之”，然后马童跟旁边的将军说，“此项王也”，这个就是那家伙，那个杀人魔王，项王也。“项王乃曰，吾闻（我听说）汉（刘邦）购我头（买我的脑袋）千金邑万户”，千金就是赏千金，邑万户，封万户侯。“吾为若德”，注意这四个字文言文，我为了你，若是你，德，一个德字什么意思？涵盖了所以的意思，“吾为若德”，我就把这个头送给你做人情吧，就是做了好事使你可以得到千金，得到万户侯，送给你吧。就是文言文，这种有力量的部分，等于西班牙的那个共产党的革命英雄，落魄的英雄，最后他被打死在西班牙的医院里面，如果最后他还有一口气，如果小男孩子如果看到他死的这个样子，他也许会用中国的文言文说，“吾为若德”，我就送人情给你了，你看，为了救你，为了给你爸爸报仇，我也不要活了。项羽的真正的英雄气概是在这个地方，他本身是个失败的英雄，可是他在最失败的最后一幕，他表现得这样地有英雄气概，这样地感情丰富，这样地顾念一个老朋友，顾念一个最后都不肯认他的老朋友，“马童面之”，脸都闪开了，不敢跟他对话的老朋友，为什么呢？怕人家打小报告，将来把项羽平了以后，回去有人报告刘邦，他在阵前跟敌人讲话，所以马童面之，可是项羽最后把他头做了人情。"
LAYM008,李敖语妙天下,li_ao_yumiao_tianxia,布莱克诗里的叹息夺爱,012#P10,012.2009-01-16：聪明人只爱一点点.txt,19-19,313,"我给大家讲，我手里拿着一本诗选，这里面有一个英国诗人叫威廉布莱克，他讲什么故事？他就讲到了，一个人向一个情人讲我怎么爱你，我怎么爱你，并且很紧张的跟她讲。结果这情人发现他那么爱她，反倒反应很冷淡。这个时候有一个过客、一个旅行者经过了，走到他情人身边，他一句话都不讲，只叹了一口气，就把他女朋友带走了。什么爱情话都不说，只对女孩子叹了一口气就带走了。所以你看这个诗里这段话，在这个女孩子离开我不久，A traveller came by一个旅行者经过了，Silently, invisibly不讲话的，也是看不见的，He took her with a sigh.叹了一口气就把女朋友带跑了。为什么？只用一个暗示就可以抓到女人。"
LAYM009,李敖语妙天下,li_ao_yumiao_tianxia,拳击手边打边打点滴,013#P3,013.2009-01-19：好的想象力比知识还重要.txt,5-5,367,我举个例子，大家看这张漫画，两个人在打拳，这个拳击手被打的很惨，他坐在那里，休息时间找个护士给他打点滴，然后裁判就有意见，结果他的教练就拿了一本拳赛规则跟裁判谈判，说告诉我哪条规则说不能够打点滴？的确拳击比赛的时候，规则里面没有定这一条，说不可以在台上打点滴。当然也没有定这一条，不可以在台上大便小便，你就能够大便小便？所以说我们人间的规则不可能定得那么详细，人家的法律也不能定得那么详细。所以要简化，可是不可太简，把你的前提都简化到没有了，又不可以。再讲一遍，我不能准确的知道爱因斯坦什么意思，可是照我的意思，我认为人间的事情就是我们要简化它，可是有很多简单的事情，它隐含在那些前提里面，我们不知道、不觉得，可是事实上我们在遵守。如果不遵守，就变的很怪，刚才这个现象就这样，虽然没有规定不可以，可事实上你不可以一边打拳、一边打点滴。
LAYM010,李敖语妙天下,li_ao_yumiao_tianxia,坏人投胎要做母狗,014#P5,014.2009-01-20：从殷海光谈知识分子的风骨(一).txt,9-9,233,先给大家讲一个笑话，一个人做了一辈子坏事，临死的时候阎王爷惩罚他，说罚你下辈子去做狗。这个人就向阎王爷磕头说，如果你实在要我做狗的话，请下辈子把我脱生成母狗。阎王爷奇怪，公狗母狗还有不同吗？这个人说有不同。这个人说，我听说古书里记载叫做临财母狗得，临难母苟免。碰到有钱发财的时候，母狗得到了，遇到了灾难的时候，母狗逃掉了。原来他是把中国的十三经里面一句话念错了，经书里怎么说呢？叫：临财毋苟得，毋看着像母亲的母字，临难毋苟免，他把它当成临财母狗得，临难母苟免。笑话！
