id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LSYRX001,历史与人像,lishi_yu_renxiang,余玠殴死茶翁后逃走,LSYRX_002_6,002.余玠人格品质的分析.txt,11-11,68,有“太保”性格。《宋史·余玠传》：“尝携客入茶肆，殴卖茶翁死。”出事后又逃掉，足见他鲁莽而缺乏责任感。《宋史·余玠传》：“脱身走襄淮。”
LSYRX002,历史与人像,lishi_yu_renxiang,冉氏兄弟默画钓鱼山城,LSYRX_002_26_29,002.余玠人格品质的分析.txt,51-57,697,"播州冉氏兄弟琎、璞有文武才，隐居蛮中。前后辟召不肯起。闻玠贤；曰：“是可与语矣！”遂诣府上谒。玠素闻冉氏兄弟，刺入，即出见；与之分庭抗礼。宾馆之奉，（二）冉安之若素有。居数月，无所言，玠将谢之。乃为设宴，玠亲主之。酒酣，坐客方纷纷竟言所长；琎兄弟饮食而已。玠以微言挑之，卒默然。玠曰：“是观我待士之礼何如耳！”

    明日更辟别馆以处之，且日使人窥其所为。兄弟终日不言，唯对踞以垩划地为山川城池之形，起则漫去。如是又旬日，请见玠。屏人曰：“某兄弟辱明公礼遇，思有以少稗益，非敢同众人也。为今日西蜀之计，其在徒合州城乎？”

    玠不觉跃起，执其手曰：“此玠志也，但未得其所耳？”曰：“蜀口形胜之地，莫若钓鱼山（在今四川合川县城外，东南约十里，三面绝壁创立，一道可通，山顶平坦十里，有天池取用不竭），请徙诸此。若任得其人，积粟以守之，贤于十万师远矣！巴蜀不足守也！”玠大喜。曰：“玠固疑（二）先生非浅士，（二）先生之谋，玠不敢掠以归己。”遂不谋于众，闻于朝，请不次官之。诏以琎权发遣合州，璞通判州事。徙城之事。悉以任之。

    他的作风是果断（decision）的，充分显示了他“独当”的气魄。所以《宋史·余玠传》接着说：“命下，一府皆喧然同辞，以为不可，玠怒，曰：‘城成，则蜀赖以安；不成，玠独坐之，诸君无预也！’卒筑青居（当年顺庆府治，今四川南充县南约四十里）、大获（阆州治，今四川苍溪县东南三十里）、钓鱼（合州治，见上）、云顶（利戎军治所，今四川金堂县南五十里）、天生（一曰云山城，蓬州治，今四川云山县云山之上），凡十余城，皆因山为垒，碁布星分为诸郡治所。屯兵聚粮，为必守计。”"
LSYRX003,历史与人像,lishi_yu_renxiang,贾似道发余玠冢取玉带,LSYRX_002_37,002.余玠人格品质的分析.txt,73-73,225,《宋史》（四七四）贾似道传：“（似道）酷嗜宝玩，建多宝阁，日一登玩。闻余玠有玉带，求之，已殉葬矣！发其冢取之。”《癸辛杂识》别集下“余玠”：“……籍余玠家资三千万以犒师，治其子如孙之罪。”《宋史·理宗纪》：“宝佑二年（1254）秋七月乙酉，诏前蜀帅余玠镇抚无状，兵苦于征戍，民困于征求；兹俾其家，输所取蜀财，犒师振民……”这就是余玠“手挈全蜀还本朝”的悲惨下场！自己不但死得不明不白，并且还落得“镇抚无状”的考语。专制帝王的兔死狗烹，真是手脚利落呢！
LSYRX004,历史与人像,lishi_yu_renxiang,吴稚晖说十碰九不开,LSYRX_004_4_5,004.桑格夫人和节育运动.txt,7-9,104,"陈伯庄有一次跟吴稚晖谈到一件不如意的挫折，吴稚晖回答了他一段妙话：

    天下事十碰九不开，好在还有第十碰，所以易经说：“天行健，君子以自强不息。”如果样样事一碰就开，那么，马尔萨斯的人口论才真可怕呢①！"
LSYRX005,历史与人像,lishi_yu_renxiang,司机太太之死促桑格献身节育,LSYRX_004_31_32,004.桑格夫人和节育运动.txt,61-63,241,"1912年的夏天里，桑格夫人为一个二十八岁的妈妈助产，产妇是一个司机的太太，已经因暗地里打胎而身体受损，经桑格夫人急救后，那个产妇一再哀求避孕的秘诀，她并且预言如果她再怀孕，一定会难产而死。可是，桑格夫人却没告诉这个可怜的母亲有什么秘诀——因为她自己就根本不知道有什么秘决。

    三个月后，这个女人到底死了。桑格夫人离开了这具尸体，走向街头。堕胎、自杀、贫穷、弃婴、死亡、法律、避孕术，一切环绕这个问题的景象都在她的眼前浮起，她决心去献身这个工作，为了解救一切苦难人儿的命运。"
LSYRX006,历史与人像,lishi_yu_renxiang,邮政局让少女专栏开天窗,LSYRX_004_24_29,004.桑格夫人和节育运动.txt,47-57,445,"《每个少女该知道些什么》一问世就有了麻烦，因为其中公开研究女人的身体，提到了“阴道”、“白带”等术语，这是美国有史以来所没有的大事！

    那时候，教会中有一个所谓“扑灭罪恶”（The Suppression of Vice）的机构，里面的顽固头子就是大名鼎鼎的康斯托克（Anthony Comstock，1844-1915）。他设法通过一个所谓“康斯托克法案”（The Comstock Act of 1873），使他有权在邮政局检查任何包裹、信件、印刷品。在老顽固的压迫之下，1913年2月9日的Call杂志上，桑格夫人的专栏竟是全部空白，只有这么十三个大字：

    What Every Girl Should Know. NOTHING！

    By order of the Post Office Department.

    （在邮政局的照顾下每个少女什么都甭知道！）

    这是多么大的讽刺！桑格夫人的专栏虽然不能再连载下去，可是她还是设法印成了小册子。"
LSYRX007,历史与人像,lishi_yu_renxiang,女警卧底抓捕节育指导所,LSYRX_004_56_62,004.桑格夫人和节育运动.txt,111-123,739,"桑格夫人手持传单，沿门挨户的访问，部署停当，开业那天，就来了一百多人，她忙得连饭都没工夫吃。有一个母亲说她生过十五个小孩，只养活了六个，她三十七岁了，可是看起来已快五十了。这样的母亲，怎么能不节育？还有的母亲已经怀孕了，以自杀威胁要求堕胎，可是被拒绝了，桑格夫人说她只是指导节育，并不赞成堕胎。还有新闻记者也跑来，看看这个“黑店”到底能支持多久。邮差也天天来送上五十到一百封信，临走还打趣说：“再见，女士们，希望明天在这儿还能找到你们！”

    正在大展鸿图的时候，预料到的麻烦到底来了。第九天，一个又高又大的娘们来了，她说她有了两个孩子啦，不想再生啦，请教了一阵，坚持要出比别人多二十倍的指导费（指导费本来只收一毛钱）。桑格夫人的助手一眼就看出这位凶来兮的女妖怪一定是女警察，在她走后，开玩笑地在芳名录上写了——

    兹收到警察局的×××夫人惠捐二元。

    第二天——开张的第十天，正在人山人海的时候，这位慷慨的女人又来了，朝着桑格夫人说：“我是一个警官，你被捕了。”

    说时迟，那时快，三个便衣一拥而上，锁上大门。满屋的女士们立刻又哭又叫，桑格夫人劝她们说不要紧，抓的是我，你们没事。费了半个钟头的口舌，才算把警察说服，放走了这些女人。

    警察们没收了指导所中的病历书和小册子，桑格夫人气得大骂警察：“不是女人！”她拒绝同警察们坐上警车去法院，她说她要开步走，警察只好跟着她，而一大群人又跟着警察。

    就这样的，桑格夫人在牢里过了第一夜，一夜与臭虫、蟑螂、耗子作伴。第二天下午她被保出来，立刻就要重新开张，可是警察威胁房东驱逐这位房客，桑格夫人以妨害“公众安宁”的罪名再度被捕，而那时候，却正是荷兰认为生育指导所是“公众福利”的时候。"
LSYRX008,历史与人像,lishi_yu_renxiang,桑格拒绝服从不尊重的法律,LSYRX_004_63_69,004.桑格夫人和节育运动.txt,125-137,695,"群众生气了！他们纷纷开会，抗议桑格夫人被捕。开庭的日子是1917年1月29号，满庭的妈妈们支持她，所有的证人支持她，舆情与证辞千篇一律，最后法官气虎虎的说：“我受不了啦！”于是宣布退庭。

    再开庭的时候，法官最后把桌子一拍，大声向律师说：“我们所注重的，只是法律——在法律还是法律的时候。这女人此时此地愿意答应无条件地尊敬它服从它吗？”于是他转向被告，问道：“现在，你的回答是什么？答应还是不答应？桑格夫人？答应还是不答应？”

    一阵漫长的静默后，桑格夫人开口了，只是断钉截铁的一句话——

    我不能答应去服从一条我不尊重的法律。（I cannot promise to obey a law I do not respect.）

    静默的法庭突然爆破了，娘子军们大叫着，拍着手。法官费了好大的劲儿才得到静默，在静默重来时，法官宣布，桑格夫人要关三十天。满庭的女人们大骂：“可耻！”可是在法律面前，谁也没办法。第二天下午，桑格夫人便跟一些女囚犯住在一起了。

    在娼妓、扒手堆中，桑格夫人要求看守长准许她宣传节育，看守长笑着说：“算了吧！她们知道的坏事够多了！”虽然这样，桑格夫人的请求还是被答应了。

    出狱以后，一连串上诉的结果，最后判决在1918年1月8号下来了，聪明的克莱恩法官（Judge Crane）一方面维持下级法院原来的判决，一方面给了另外一条法律做了宽大解释。解释中准许医生可以为了疾病的理由指导避孕，而疾病的解释，不必像过去一样的只局限在梅毒和淋病上，它该是广义的。这是一个大转捩，从此以后，医生们指导避孕，再也不必担心坐牢了！"
LSYRX009,历史与人像,lishi_yu_renxiang,九江木板上的奸杀私刑,LSYRX_005_89,005.纪翠绫该生在什么时候？.txt,177-177,175,九江日前江水急流中，突由上流漂来一方木板，……板上仰卧一活着的少年妇人。上半截裸体，下半截仅穿一单裤。手足被人用铁钉钉住不能伸缩。两腿之间放一男子之头，鲜血模糊，并树一木标，上书“救者男盗女娼”字样。救生船见其情形奇怪，遂置不理。该妇人叫曰：“请你们将我之木板翻转，俾得速死。”驾救生船者亦不加询问，遂将船驶回，而以所见情形告人。众谓“此必奸杀案”。
LSYRX010,历史与人像,lishi_yu_renxiang,胡七王五劝谭嗣同出走,LSYRX_007_13,007.“两昆仑”考.txt,25-25,561,1930年10月，中华书局出版了一本陶菊隐著的《新语林》（“菊引丛谭”本）。在这书的第十四篇《去留肝胆两昆仑》一文里，他用小说的笔法叙述了一段动人的故事，大意是说当徐世昌做北政府的总统时，一日在北平怀仁堂宴客，有一姓易者（敖按：疑是易宗夔）饭后出来因地滑失足，摔断左臂，请来的医生姓胡，名致廷，人称胡七，绰号通臂猿，是山西太原人，当时在警察厅教拳术，业余兼治跌打损伤。一日胡七心血来潮，在诊病之余，告诉易君说他认识谭嗣同，谓：“当谭先生住在北半截胡同浏阳馆的时候，我和‘单刀’王五每天必和他见面。王五比我年轻，是我介绍给他的。……我两人同时教授他的武艺。”又说他们有一批“兄弟（秘密组织），立志行侠仗义，打尽天下之不平”。当时他们想物色一个有学问、胆识和地位的人做“大哥”，在这个标准下他们看中了谭嗣同，谭嗣同也很赏识他们（敖按：袁世凯《戊戌日记》中，记谭嗣同自言“有好汉数十人”，谅即指此）。及政变失败，胡七王五赴浏阳馆约谭嗣同出走，嗣同意欲死节，虽经苦劝，终不肯从。未几捕快们蜂拥而至，胡七王五才跳墙逃走。后胡王二人又谋劫法场，以警戒过严无从下手。庚子年间，王五在河间府死于义和团乱刀之下，胡七自是也弃身草莽，郁郁不得志。陶菊隐言：“梁任公知王五而不知有胡七，因王五比较活动，常为谭浏阳供奔走，胡七却是始终不露面的。”
LSYRX011,历史与人像,lishi_yu_renxiang,辛殿撰三百青蚨买时文换爵,LSYRX_009_21_23,009.宋禁科场书.txt,41-45,148,"元人王恽在《玉堂嘉话》里引《辛殿撰小传》，也提到一则有关“时文”的笑话：

    ……既归宋，非科举莫进，公笑曰：“此何有！消青铜三百，易一部时文，足矣！”既擢第，孝宗曰：“是以三百青蚨博吾爵者！”

    可见“时文”对投考的贡献之大。其流布之广与公开的程度，甚至贵为皇帝都用它来开玩笑了。"
LSYRX012,历史与人像,lishi_yu_renxiang,张美强娶民女宋太祖折钱了事,LSYRX_010_56,010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt,111-111,285,司马光《涑水记闻》卷一：“张美为沧州节度使，民有上书告美强取其美女为妾及受取民财四千缗。太祖召上书者谕之曰：‘汝沧州，昔张美未来时，民间安否？’对曰：‘不安。’曰：‘既来则如何？’对曰：‘既来，则无复兵寇。’帝曰：‘然则张美全活沧州百姓之命，其赐大矣！虽娶汝女，汝安得怨？今汝欲贬此人，杀此人，吾何爱焉？但爱沧州之人耳！吾今戒勅美，美宜不复敢，汝女值钱几何？’对曰：‘值钱五百缗。’帝即命官给美所取民钱，并其女直而遣之。乃召美母，告以美所为，母叩头谢罪曰：‘妾在阙下不知也。’乃赐其母钱万缗，令遗美曰：‘语汝儿：汝欲钱，当从我求，无为取于民也，善遇此女。……’”(34)
LSYRX013,历史与人像,lishi_yu_renxiang,妻妾互拔郎官胡须,LSYRX_010_64,010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt,127-127,81,彭乘《墨客挥犀》：“有一郎官，年六十余，置媵妾数人。鬓已斑白，令其妻妾互镊之。妻忌其少，恐为群妾所悦，乃去其黑者；妾欲其少，乃去其白者，不逾月颐颔遂空。”(40)
LSYRX014,历史与人像,lishi_yu_renxiang,文氏女临嫁化为男子,LSYRX_010_72,010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt,143-143,93,洪迈《夷坚丙志》卷第一《文氏女》：“（孝宗）乾道三年（1167）四月，永州文氏女及笄，已定昏将嫁，……化为男子矣！父母惊报婿，婿家以为本非女子，特以诈给人，投牒讼于州，案验得实，乃已。”
