id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
QQWSWYQS001,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,孙中山交代翻译议事法则,QQWSWYQS_020_3,020.有关民权的一个故事.txt,5-5,520,“大约在辛亥武昌起义前不久，总理正在美国旧金山做革命活动，那时我也正在当地的革命机关大同日报当主笔。一日总理、刘成禺和我三人在一起，总理忽然对我和刘先生说，有一件事关系今后革命建国成败甚为重要，这是西洋政治进步民权发达的一个重要因素，也即是民主政治的基础，我们必须建立这一基础，我们的革命建国才能成功。总理一面说一面从衣袋中取出一本书交给我，要我和刘成禺把它翻译成中文，以便印发推行，我接过来一看，原来是罗伯特（Robert）所写的《议事之法则与秩序》（Parliamentary Rules & Order）一书。当时总理的表情十分严肃，而我们却未感觉此一问题有如是的重要。总理既然要我们翻译此书，也就唯唯答应了。其后因为事情的牵累太多，终不曾把此书译成中文，这实在是一个遗憾，实则也并不知道此一工作的重要”。“大约在民国六年的秋天，我由美回国在上海晋谒总理，他忽然又把这件事问我。他说：‘我请你翻译那本罗伯特的议事之法则与秩序的书，已经译好没有？’我对他说：因为事忙，找不出时间，至今尚没有着手。总理忽又说道：‘我知你不重视此一工作，我早已自己编好了一本在此。’他一面说一面从书桌的抽屉内取出一本缮就的稿本，这便是总理手著的民权初步。”
QQWSWYQS002,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,表弟二十岁混蛋四十岁,QQWSWYQS_028_3,028.混蛋的投票·混蛋的当家.txt,5-5,88,有一个笑话：甲问乙说：“我的表弟二十岁，你认为我几岁？”乙说：“你四十岁。”甲说：“我是四十岁，可是你怎么知道得这么准？”乙说：“你的表弟是混蛋，你比他混了一倍，当然是四十岁！
QQWSWYQS003,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,宙斯不收毒蛇口中玫瑰,QQWSWYQS_032_20,032.“蛇口”与“玫瑰”.txt,39-39,85,伊索寓言里有一段故事：宙斯神结婚时，所有的动物都送了礼：有一条毒蛇用它的口含着一朵玫瑰，也爬进了礼堂，宙斯神说：“所有的礼物我都收下了，但从你的口里，我不敢收任何东西。”
QQWSWYQS004,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,郑思肖心史藏井三百五十六年,QQWSWYQS_038_3;QQWSWYQS_038_4;QQWSWYQS_038_5,038.又一个不合作主义者.txt,5-9,257,"郑思肖七十八岁死去，临死前请他朋友唐东屿写一牌位，上书“大宋不忠不孝郑思肖”，原因是自认不能死国，为不忠；不能有后，为不孝。他死后三百五十六年，忽然在枯井中发现了一部密封的书，原来是他写的。据陈宗之《承天寺藏书井碑阴记》说：

崇祯戊寅岁，吴中久旱，城中买水而食，争汲者相捽于道。仲冬八日，承天寺狼山房浚眢井，铁函重柜，锢以垩灰。启之，则宋郑所南先生所藏《心史》也。外书“大宋铁函经”五字，内书大宋孤臣郑思肖百拜封十字。自胜国癸未迄今戊寅，阅年三百五十六载。楮墨犹新，古香触手，当有神护。

这就是《心史》的来源。"
QQWSWYQS005,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,阮籍送嫂子说礼岂为我设,QQWSWYQS_056_4,056.讲理与讲礼.txt,7-7,167,晋朝阮籍的嫂子回娘家，要出发了，阮籍来送行。照中国礼法，小叔子是跟嫂子不打交道的，“叔”字的本义是“俶”字，古书里说：“叔，俶也，见嫂俶然却退也。”就是说，“叔”乃是“一见大嫂就向后转”的意思。礼法这种规定，阮籍就不以为然，他给嫂子送行，别人说闲话，他白眼一翻，骂道：“礼岂为我设邪？”（礼是给你们凡夫俗子订的，难道是为我订的吗？”）
QQWSWYQS006,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,僖负羁给流亡晋文公烧冷灶,QQWSWYQS_060_4,060.论“烧冷灶”.txt,7-7,93,晋文公在“未遇”时期、流亡到曹国时候，曹国上下，不但不礼遇他，反倒偷看他洗澡。只有大夫僖负羁有眼光“烧冷灶”，去拜访他、去送食物给他、去送钱给他。这种够朋友，绝不是讲究现实的人干出来的。
QQWSWYQS007,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,刘章唱耕田歌锄吕家,QQWSWYQS_062_2;QQWSWYQS_062_3;QQWSWYQS_062_4;QQWSWYQS_062_5;QQWSWYQS_062_6;QQWSWYQS_062_7;QQWSWYQS_062_8,062.深耕的故事.txt,3-15,382,"汉高祖刘邦是叛乱犯，但是叛乱成功，就当了流氓皇帝；他的老婆吕后是叛乱共犯，新女性出身，喜欢夺权。流氓皇帝死后，新女性吕后也想家天下，想把刘家天下改成吕家天下，引起刘家帮的不满，刘家帮是要刘家昌的。有一天吕后置酒高会，叫她孙子辈份的朱虚侯刘章做总司仪、做监酒，刘章说：“臣将种也，请得以军法行酒。”吕后答应了。大家喝得开心时候，刘章说我给太后唱个耕田歌。吕后笑道，你出生便是王子，怎知道耕田？但刘章硬说他知道，吕后说那你就唱唱看。于是刘章就唱道：

深耕穊种（穊种是密密的种），

立苗欲疏。

非其种者，

锄而去之！

吕后知道这歌话里有话，就不吭气。不一会儿，吕家的一个人喝醉了，逃席而去。刘章认为失礼，居然“军法行酒”，追上前去，把他当场杀了。所有吕家的人都大惊，此后都怕起刘章来了。

第二年，吕后死了，刘章终于联合元老重臣，把吕家的人都给“锄而去之”了。"
QQWSWYQS008,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,成大共党向假共产党致敬又取消,QQWSWYQS_087_11,087.黑牢忆趣.txt,21-21,192,来了一批以成功大学学生为主的“成大共党案”。那些小鬼们从来没见过真共产党，坐在牢里，到处想找共产党前辈来师法。我说别天真了吧，牢里哪里还有什么真共产党！国民党整天抓到的，其实都是假共产党！他们不信，硬说李荆荪是，一房一房传话过去，向李荆荪致敬。后来发现李荆荪果然是假的，于是大呼负负，又一房一房传话过去：“致敬取消了！”弄得傻头傻脑的李荆荪糊里糊涂，搞不清忽来致敬忽又取消是怎么回事。
QQWSWYQS009,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,调查局干员说没来以前先剥你的皮,QQWSWYQS_087_12,087.黑牢忆趣.txt,23-23,81,“成大共产党”在调查局被刑求，有人大骂：“你们这样对我们共产党，将来共产党从大陆来了，要剥你们皮啊！”调查局干员说：“剥就剥，可是没来以前，老子们先剥了你的皮！”
QQWSWYQS010,千秋万岁乌鸦求是合集,qianqiu_wansui_wuya_qiushi_heji,吴荣元没死就丢佛经看李敖书,QQWSWYQS_087_14,087.黑牢忆趣.txt,27-27,94,“成大共产党”另一领袖吴荣元，也被判死刑，也是一位率真勇敢的年轻人。他被判死刑后，带着脚镣，等待枪毙，找来佛经看，以为解脱；后来改判无期，他把佛经一丢，说：“既然没死，还是看李敖的书吧！”
