file	paragraph	score	markers	text
021.只消捡起一块石头.txt	6	15	故事|小故事|张作霖	“无言”之为义大矣哉！它不仅带给我们美感，并且还带给我们睥睨与傲岸，在“广义的恨的哲学”里，无言是第一等的手段，对世俗的狗男女，你骂他、讽刺他、瞪他、有时我觉得都是太抬举他了，他们还不配我们这样对他呢，当年张作霖手下一个佣人曾逢人就说：“大帅亲口骂我一声王八蛋！”而引以为荣，我觉得这个令人发噱的小故事倒可以被你我引以为用，他们还不配是我们骂的对象，我们对他们的最好的态度是根本不正眼看他，视其人如不见，听其言如不闻，根本漠视有此“人”之存在（being)，岂不更妙？你走在路上，旁边忽有一狗向你狂吠，只要它没咬到你，你大可不理它了，这是对付这些凡夫俗子们的最好态度。但当“它”真真的咬住你不放的时候，当然我们就要放弃这“无言的手段”而采取另外的办法来了，不过另外的办法仍是以不用为上，不得已而用之。“无言的手段”足以应付一般局面，你以为吾意如何？
023.寡情如此.txt	20	14	掌故|萧伯纳	来信使我想到这些大俗蛋们，他们了解的李敖不知是哪一个时代的李敖？大概是几年前的我吧？这真可笑。归来见一友，三四年未见矣，彼历述我当年之种种，许多吾皆忘之，孔丘说：“礼失求诸野”，我套此意曰：“己失求诸故”，此其谓乎，好象夜半的星光一样，我们看到的星光已是多少光年前的投影了，而我们所见的繁星，皆非现在的真面目，乃是历经多少光年才到达我们眼中的“故态”。这真可说是“后之视今，犹今之视昔”了！设想耶稣死后多少年人们才“了解”他，现在我们不为人所知，不足忧也，还是一任这些狗男女们妄相猜度咱们老子们罢。安知我们不是先知呢？当然我们比耶稣伟大得多，耶稣所持者一片谎言与痴人说梦耳，流风所及，千古一大骗局耳，传教者给骗子做骗子，信教者给骗子做奴才，此所谓宗教者也。余意宗教可取者乃在其片段之理论与箴言，总体言之，殊不可耐矣。佛书中之小掌故，Bible中之小隽语，皆颇有佳妙者在，还有宗教徒所办之事业如学校医院等亦功不可没，惟他们每藉施小惠以传教，此甚可耻，萧伯纳曾讥谓一手拿宝剑一手拿可兰经的传教方式是为你们所耻笑的，可是一手拿面包，一手拿Bible又高明多少？其喻甚是。
010.有耳无膜.txt	9	13	幽默|他说|三则	昨晚与老景大谈至十一时始归，老景真可说是一个“真人”，惜知之者极寡，他在台北可找的朋友，他自言只有区区三个人，他说“在这点上老马和我很相象”，真的，你们都是曲高和寡的人（一提到曲高，又想到吾之Dear John之悠扬）， 你们的通病在不够popular，我在这点比你们稍胜，这完全是受大博士的影响。老景幽默三则，昨晚语我：
043.非“痴”.txt	11	10	问他|他说|答话|豫让	为什么我说你是“愚不可及”呢？因为我采取了一种尺度来批评你的缘故，这尺度我名之曰“豫让的尺度”。豫让为智伯报仇，“漆身为癞，吞炭为哑”，百折不回，死生以之，但是被捕时却被人所笑，人家问他：“智伯并不是你最初的主人呀！你既以忠贞之士自期许，那么你对你最初的主人的态度难道够得上忠贞吗？”豫让的答话很巧妙，他说：“智伯以国士待我，故以国士报之！”而他最初的主人并未以国士和知己待他，他当然不必如此。假若“士为知己者死”是真，那么为不知己者死就未免太“痴”了！太没事找事了，太多余了，大可不必了！
021.只消捡起一块石头.txt	7	8	问他|徐子明	徐子明曾言白话文为狗叫文，姚老问他为什么他竟也讲白话？徐子明说：“我跟狗不能不狗叫！”我今日平心想来，此老之言颇有三分至理，既然前后左右皆是狗世界，激怒群狗倒也没必要，只要“它”狗眼不看人低一点，吾人倒也不妨善与之相处，和光同尘目的是少麻烦，并非屈服也。王右军诗：
050.一封没写完的信.txt	4	8	伏尔泰|子贡	一、我感到“行有余力则以学文”那句老话真是不错，而我们中国的知识分子几千年来受了“轻商主义”的毒，都不重视“钱财的力量”，不知道庞大的财力对文化思想的贡献，我深觉思想的传布有赖于经济的基础，孔丘之学的畅行，富商子贡的功实在很大；又如法国伏尔泰之多财善理财，于其生活之安静与学说之广被实在有不少助力，因此我主张我们真不妨做“文化商人”。（台北文星书店及敦煌书店的主持人即此类者，他们比普通书店的老板们高明多了。）
014.明归何处.txt	12	7	幽默	不论在任何情形下，我永远赞成幽默和穷开心，莞尔一笑，庸何伤乎？
041.迎胡适.txt	4	7	问他|他说|记者问	前晚赴机场接大博士，又坐三轮车，因想到上次一起去的一幕。博士胖了，先呼我为“李敖”，继则呼“李先生”，礼貌周到，一如往昔，记者问他太太何以未归？他说：
045.非“痴”又一章.txt	10	7	林语堂	我现在寄上这封信，我曾仔细考虑过你看了以后的后果，我猜想它可能带给你一点小震荡，甚至是不愉快，可是，我宁愿有这个后果。林语堂在南洋大学时说得好：“与其长期闹头痛，还不如干脆昏倒一次。”假若这次不愉快能带给你一点“清醒”，一点“澈悟”，一点“改头换面”的态度，那就是我最大的希望和你最大的幸福了！
020.真正的自由恋爱者.txt	6	6	庄周|秦失	你说：“真正的自由恋爱论者，朝秦暮楚的做法，怕你的新头脑也将要吃不消的。”我觉得只要我做到了一个“真正的自由恋爱者”，我一定把这种朝秦暮楚的离合视为当然的，甚至是必然的，一定有十足的智慧、达观与勇气去迎接一切遭遇。换言之，即不再用世俗的态度去反应爱情上的遭遇，比如说亲人死了，我们一般的反应是哭，但是却有“三号而出”的秦失，“鼓盆而歌”的庄周，他们的反应不是世俗的，是“超世俗的”。在爱情上，离别可能带给人不少黯然神伤，但是对李先生说来，他却可能逐渐走上一种“太上忘情”的最达观的道路，例如我昨天又走过我和×小姐相识的小径，往年是忧郁的踽踽经过，而昨天呢，我却几乎是无动于衷了。因为我已不再是一个为离别而悲的人了，我不愿再在爱情上遭受任何的痛苦。我之所以如此，得力于：
003.艳事一则.txt	2	5	他说	老马：十五日上午下课后（十时），经过邮局看到谭凝晖在买邮票，本人走过去，站在她身旁，煞有介事地问邮局办事员道：“请问寄封航空信（不是邮筒）要多少钱？”他说：“八块钱。”我又问道：“能寄多重？”殊不知那位职员尚未答，旁边的谭小姐忽然说：“二十克。”那职员道：“不是二十克，二十克是平信，是四克。”她见她说错了，很不好意思地低下头来。我走后，在十一点半打一个电话到她家，她问道：“喂？”我也说：“喂。”她说：“你是谁呀？”我说：“你是谭凝晖吗？”她说：“是呀！你是谁呀？”我慢慢说道：“我——是——李——敖。”她说：“啊！”我说：“也许你知道我。”她说：“知道，知道，久闻大名！”我说：“谢谢你刚才那二十克。”她说：“哪里，哪里，我也是不知道的。”我说：“二十克是平信，航空只能寄四克。”她说：“啊，噢。”我说：“好吧，再见啊。”她说：“好，再见。”艳事一则奉闻宏祥，请参谋为盼。
009.爱情牢骚.txt	3	5	他说	这信当然又是如你所说：“它一开始就不是正常的”，其实我的本意也不过是“如此而已”，我并不想更进一步的做什么，甚至我想此生不跟他说一句话都是可能的，正如我信末所说：我要的就是彻底的做一次——只是一次——Platonic Love的实习而已。很欢迎听听你的意见。
038.林语堂演说.txt	1	5	林语堂	林语堂演说
009.爱情牢骚.txt	4	4		你说我对女孩子只是“冷战”，这两个字用得真好，至于“短兵相接”，我实在有点忌讳，我那种生活过得久了，苦乐的经验都很深刻。当然，那种生活也自有乐在其中，但是我即使目前有那种生活，我照样还是要做这种“不正常的”拈花惹草式的、东打一拳西踢一脚式的勾当，这种态度若被与我“短兵相接”的女孩知道了，她能赞同吗？能容忍吗？当然是不能的！
009.爱情牢骚.txt	6	4		还有，即使她还算有眼有珠，有爱你的“可能性”（Probability)，那并不就是说你们就可以“短兵相接”了，她还要摆架子，考验你的诚意与爱她的深度、久度与韧性，经过长久的一阵考验后发现你合格，才可进而言“短兵”也。（过去她手中一直是丈八蛇矛，拒人于千里之外。）不错，那时候你是“合格”了，可是那时的模样却是一个：低三下四、摇尾乞怜、看人脸色、强颜欢笑的你我了。焦头烂额、心劳日绌、如脂如韦、钦此钦遵。
009.爱情牢骚.txt	7	4		“爱情的成功”和“个人的尊严”几乎是不能并存的，随便在一个周末的晚上，你试到女生宿舍门口去瞧瞧，那种门庭若市的场面，低首下心的奴才男人，你立刻便会倒胃口了，鲁仲连说得好：
009.爱情牢骚.txt	14	4		不过我这种“程咬金式的一击”，却要力求其新颖，不落俗套，并从你所说的：“要像个诗人，像个文人，而不要像个史家，像个考据家”，此言极是。
009.爱情牢骚.txt	19	4		有一件事要恭喜你（更恭喜我），就是本小人对钧座之书法墨迹渐能认清（或说猜清），因而后知学，此之谓也。老景在读你信的速度上就不如我了，他叫道：“老马的字真难认！”其实这怎能怪你，只能怪这厮“程度”不够，一个不能识蛛丝“马迹”的人，是当然被李先生所笑的。
010.有耳无膜.txt	17	4		昨晚老景花钱买糖果，他拿一部分到里屋给他母亲说：“李敖请客！”此举我深觉其人之伟大处，嫁“功”于人，孝不忘其母，实令我暗自欣赏。你以为如何？
012.十字街头筑隐居.txt	5	4		就这个事的本身言，的确是卑不足道的小事一件，只要我反诸己心而安，自反不缩，我是大可以不必介意的，因为我深深的知道象我这种“惹祸‘男’郎”（非BB之“惹祸女郎”），将来得罪人群之处势不在少，也可能有人大写《李敖与国运》正续集毁谤（真正的毁谤）我，蒙受小人的冷箭和无中生有的诬蔑与栽赃是太有可能的了，难道我会为他们而懊恼不成？辩白不成？我才不会那样傻呢？阿Q说得好：“就算被儿子打了！”其实这种态度也蛮有道理，何错之有？设想大博士若真上了法院告徐老头子毁谤他，这成何风度！同样的，李敖先生若又像对×××那样“骂街”也太“悻悻然小丈夫”了，对骂×××我今日思之，颇觉有失风度，为了出几口气而失掉风度，未免不划算。
012.十字街头筑隐居.txt	11	4		刚才说过，这事本身只不过是小事一件，但它对我却有一个“火柴作用”，——它在我的思想上点烧了一个“新转变”！
012.十字街头筑隐居.txt	28	4		你说：“真人有时又不甘寂寞，真人也有生理的需要，必须和影子共舞，委蛇。”其实我现在看来，如果“共舞”与“委蛇”若有损于真人之“真”，那么还是免了罢！
013.所谓“黄色”.txt	5	4		今日忽起写一小说之念，欲写一极“黄色”之小说，赤裸裸描写男女间事，大体刻画出我理想中的一个女孩子，当然了，“此‘人’只应天上有”，大概我一辈子也找不到。结局是她死了，如此而已。反正即使写得好，也没人敢出版，大可随意而驰笔。
013.所谓“黄色”.txt	6	4		昨与老景看桂河大桥，结果没买到票，黄牛太多了，碰到赵依依，她居然给黄牛做起黄牛来了（站在黄牛让给她的地方而代给黄牛买票），本来老景也要如此做，被我拒绝，后买不到票，老景要买黄牛票，亦为我所阻，老景说：“只你一个人同黄牛不合作难道有效吗？”我说：“我们以后遇到类似的事情多着呢，对现状可能一点效果也没有，可是我们求的是内心的耿介与顽强。不该以成败及效果衡量哪件事该做哪件事不该做。”
014.明归何处.txt	3	4		二爷骑车摔伤两手，以致北来拖至十号以后，他来信谓：“老马来之二信，言在凤山颇为孤单。这厮不合群，故甚烦恼，我已去信劝慰一番，并小小消遣了一下，恐这厮生气，五天没有回信。”云云。唉！老马，我真不明白你有“烦恼”不让我知道，你的生活好吗？你来信都很少谈，谈也只谈那丹田大呼“教官早安”的快乐的一面，我真不知道你是否合群与快乐？袁祝泰来信谓“……来信给老马看，引起轩然大波，同学们争阅你寄来的相片。”我想不到“美人图”在尊处竟有此沟通交谊之奇效，若果是，吾当寄大量女人图片与你这厮以为招徕。如是或不致再孤独也。
015.小舟之逝，从此始矣！.txt	10	4		我个人的“气愤和不平”早已没有了，因那事引起的不愉快早已烟消云散了，你说我“未能‘淡然一笑’置之”，我实在不能予以承认，其实你想：以我们的胸襟与气派，岂该为这些小事耿耿于怀吗？你说：“我从你的经过冷却过的语句发觉你的哀痛”，其实我才不哀痛呢！（至多是“哀”而不“痛”）
