file	paragraph	lines	score	markers	text
009.“千秋万岁名，寂寞身后事”.txt	28	55-55	21	故事|当年|死|哭|胡适|彼得|耶稣	这真是一个含义深长的故事！这个故事在耶稣死后一千九百年，居然在台湾来了一出全新拷贝——胡适先生的亲爱的“彼得”们，纷纷露出了他们的嘴脸，他们和当年彼得不同的一点是：彼得还会羞惭痛哭，还会在日后做个传布耶稣思想的使徒，可是他们呢？他们都不会，他们只会在胡适先生的生日忌日里来一番“告朔饩羊”，对遗照三鞠躬以后，一哄而散，坐车回家。
009.“千秋万岁名，寂寞身后事”.txt	38	75-75	18	故事|最后|答|说|死|胡适	《胡适选集》出版后极受欢迎，对胡适思想的流传有了极大的影响。《胡适留学日记》里有一则《借一千，还十万》的札记，写施特雷特（Willard Straight）以十万元的纪念堂，酬答他欠过一千元的知己舍尔科夫（Schoellkopf）的故事。胡适先生送了我一千元，可是我说3月要还他，但他2月就死了。最后我以《胡适选集》给他做了最好的纪念。文星被国民党封门后，这书转给了传记文学社，市面上也出了多种翻印本，单册流传，总在十万册以上。我这点酬答死友的心意，比起《胡适留学日记》中的故事来，也算好有一比了。
003.胡适之不怕老婆考.txt	15	29-29	17	故事|答|说|他说|笑|胡适	胡适博士接到这十枚“会章”，不但爱不忍释，并且高兴得笑了起来。他告诉叶司长说，中央社驻巴黎特派员李强光，曾于本年2月25日上午到南港去看他。那时，他已答应人家一篇演说，讲的是关于惧内的故事。他和李强光谈到这篇演讲，并且谈了许多关于惧内的哲学。他说，当时李强光曾告诉他，在巴黎有一种打公用电话的小角子，上面铸有PTT三个字母，这三个字母，恰巧与中国话“怕太太”（Pa Tai Tai）三个字的英文拼音的每一个字的第一个字母相同。李强光并曾告诉他，他回巴黎之后，一定要找这种角子送给他。
004.胡祸呢？还是祸胡？.txt	15	29-29	17	有一个|过去|后来|骂|请|胡适	在以上八大派里，有一个奇怪的派就是“骂胡派”中的第⑤——栽赃派。这一派在胡适生前，曾以匿名小册《胡适与国运》到处散发，以致被警察老爷找上门来。后来在事件过去以后，他们的匿名行为开始作废，一一把真名亮了出来。原来一个是台湾大学历史系教授，一个是国防医学院教授，前者以提倡读经名世，后者以提倡中医著称。他们在事发后宣称这本匿名小册是“学术研究”，这更增加了它的传奇性——因为它不但栽诬了胡适，并且把“学术”予以强奸。对这种现象，一位大学教授气不过了，他就是殷海光。他在《自由中国》第十八卷第八期（1958年4月16日）里，以《请勿滥用“学术研究”之名》为题，指出：
008.从小逆流到大回归.txt	23	45-45	17	笑话|问|说|他说|杀|笑	第三、我深信这几百年（特别是这一百年）演变出来的民主政治，虽然还不能说是完美无缺陷，确曾养成一种爱自由、容忍异己的文明社会。法国哲人伏尔泰说得最好：“你说的话：我一个字也不赞成。但是我要拼命力争你有说这话的权利。”这是多么有人味的容忍态度！自己要争自由，同时还得承认别人也应该享受同等的自由，这便是容忍。自己不信神，要争取自己不信神的自由，但同时也得承认别人真心信神，当然有他信神的自由，如果一个无神论者一旦当权就要禁止一切人信神，那就同中古宗教残杀“异端”一样的不容忍了。宗教信仰如此，其他政治主张、经济理论、社会思想，也都应该如此，民主政治作用全靠这容忍反对党、尊重反对党的雅量。我们看报纸上记载英国保守党领袖丘吉尔上个月病愈后回到议会时，全体一致热烈的欢迎慰问他，我们读那天工党议员同他说笑话的情形，我们不能不感觉这种有人味的文明社会是可爱可羡的。
013.用胡适给傅斯年的一封私信收尾.txt	53	105-105	17	有一个|问|答|说|拒绝|胡适	第二篇是蒋廷黻的《论专制并答胡适之先生》（《独立评论》第八十三号）。大意说：中国必须有一个中央政府。中国的现状是数十人的专制。他提倡的是拿一个大专制来取消这一些小专制。破坏统一的就是二等军阀。统一的问题就成为取消二等军阀的问题。唯独更大的武力能打倒他们。中国人的私忠既过于公忠，以个人为中心比较容易产生大武力。他主张武力统一，并且认为“唯一的过渡方法是个人专制”！他的理由有三：“第一，中国的现状是数十人的专制。市是专制的，省也是专制的。人民在国内行动不过从一个专制区域行到另一个专制区域。至于权利的保障，处处都是没有的。我所提倡的是拿一个大专制来取消这一些小专制。大专制势必取消各地小专制，不然，大专制就不能存在。从人民立场看起来，他们的真正敌人也是各地的小专制。正如英国的都铎、法国的波旁、俄国的罗曼诺夫，他们专制的对象是各地的诸侯，直接压迫人民的也是各地的诸侯，所以君主专制在这些国内曾受人民的欢迎。我们简直把中国政治认错了。我们以为近二十年来想统一中国的人如袁（世凯）、吴（佩孚）等把人民作为他们的敌人。我们未免自抬身价了。严格说来，我们不配做他们的敌人，因为我们有什么力量呢？我们实际也不愿做他们的敌人，因为我们并不反对统一。统一的敌人是二等军阀和附和二等军阀的政客。每逢统一有成功可能的时候，二等军阀就联合起来，假打倒专制的名，来破坏统一③。士大夫阶级反对专制的议论，不是背西洋教科书，就是二等军阀恐惧心、嫉妒心的反映。中国现在专制的对象不是人民，是二等军阀。从人民的立场看，个人的大专制是有利的。第二，我们以为个人的专制来统一中国的可能比任何其他方式可能性较高。破坏统一的就是二等军阀，不是人民，统一的问题就成为取消二等军阀的问题。他们既以握兵柄而割据地方，那么，唯独更大的武力能打倒他们。中国人的私忠既过于公忠，以个人为中心比较容易产生大武力。这个为中心的个人必须具有相当的资格，以往当局的人及现在当局的人是否具有这种资格，那是人的问题；我这里所要讨论的是制度的问题。适之先生引《民报》驳《新民丛报》的话来为难我，说：‘开明专制者待其人而后行。’他不信‘中国今日有能专制的人’。中国今日有无其人，我也不知道。不过我们要注意，我所注重的是能统一中国的人；‘开明’是个抽象的名词，恐怕各人各有其界说。我们更加要注意，以袁世凯及吴佩孚一流的人物，离统一的目的，仅功亏一篑了。第三，不少的读者
013.用胡适给傅斯年的一封私信收尾.txt	167	333-333	17	笑话|有一天|答|说|笑|胡适	①1937年5月30日，胡适写《再谈谈宪政》（《独立评论》第二三六号），进一步论他这一“僻见”说：“我这个‘僻见’，蒋廷黻先生不屑答复；有一天他对我说：‘你那一段议论简直是笑话，不值得讨论。’过了一年之后，丁在君先生在《大公报》的星期论文里引了我这一段话的第一句，他的批评是：‘这句话是不可通的。’（丁先生的全文转载在《独立》第一三三期。）这大概是因为我不是专学政治的人，所以我的‘僻见’，廷黻先生说是‘笑话’，在君先生说是‘不可通的’。”“我自己相信，上文说的僻见并不是笑话，乃是我在美国七年细心观察民主宪政实地施行的结论。”
007.残存日记中的爱国者.txt	86	171-171	16	故事|问|说|请|近卫|杉山|松井	近卫首相在他的《近卫手记》里曾记过这样一个故事：日本在中国华中统帅松井大将出发前，近卫首相和杉山陆相一起到东京车站送他。松井一再说他要打到南京，请首相谅解。近卫转问杉山陆相说：“陆军是不是准备打到南京?”
008.从小逆流到大回归.txt	15	29-29	16	举例|有一个|说|他说|胡适	今天读这段讲演的人，也许会觉得胡适的言论平淡无奇，但是我们应该想想当时是一个什么时期？什么气氛？那是一九四七年的秋天——一个赤潮弥漫的秋天，中国大陆的局势已经开始转变，在弥漫的赤潮前、在转变的局势里，一般人们的心情是沉重的、苦闷的、动摇而又彷徨的。举例来说：当时有一个大学三年级的学生②，他听了胡适的广播，当晚就写信给胡适，认为这一类大潮流、小逆流的比喻，“不该出于胡先生之口”。因为这类比喻，“只是一些政治上的口号，而且你说你是正流，他说他是正流”，这是“不能阐明任何理由”的。所以，这个大学生对胡适的讲演很“失望”，他写这封信表示他的“悲观”。
009.“千秋万岁名，寂寞身后事”.txt	24	47-47	16	有一个|说|他说|彼得|耶稣	有一个使女看见彼得坐在火光里，就定睛看他说：“这个人素来也是同（耶稣）那人一伙的。”彼得却不承认，说：“女子！我不认得他！”
