file	paragraph	line_start	line_end	char_count	score	snippet
001.如果台湾没有李敖……（何飞鹏）.txt	4	7	7	191	3	这个未来英雄，并没有按照我年轻时的想像，成为体制内认同的当代大师、思想家、文豪或者史学家（年轻的我，对体制尚有高度敬畏，当然李敖是体制外的英雄毋庸置疑），接下来只有断断续续的印象：与《文星》纠缠不断的官司，退出江湖卖牛肉面去，成为思想犯坐牢，出狱后复出江湖，与名女人胡茵梦结婚、离婚，继续放言高论，与当权者斗争，办《求是报》，以一人之力办报，其文字的产量，最令...
001.如果台湾没有李敖……（何飞鹏）.txt	5	9	9	131	5	这些远观（无缘认识前）的片断，串成了对李敖的想像——一个当代具有“特异功能”的人：博览群籍，巨笔如椽；指责当道，不惜坐牢；挑战禁忌，不屑媚俗；朋友多，敌人多，女朋友更多。可以肯定的是，这位当代奇人的人生绝对是彩色的，一生中充满曲折变化、高潮起伏、快意恩仇的故事。
002.《李敖回忆录》自序.txt	2	3	3	510	4	1997年我62岁，62岁对一些人是尴尬年纪：蒋介石62岁流亡台湾，他尴尬，“树倒猢狲散”，是谓尴；“吃力不讨好”，是谓尬；我62岁拥抱台湾，我尴尬，“人老心不老”，是谓尴；“无可无不可”，是谓尬。古人讲三不朽：立德、立功、立言。蒋介石无德可立、无功可表，倒是言论总集出了一大堆，但都是文字大便，等于无言可垂。此人崛起于乱世，才具不足，对乱世无能为力，却拼命使...
003.哈尔滨（1935-1937·1到2岁）.txt	2	3	3	359	3	1935年的世界是一个多变的世界。这一年在世界上，波斯改国号叫伊朗了、英国鲍尔温当首相了、墨西哥革命失败了、意大利墨索里尼身兼八职并侵略阿比西尼亚（今埃塞俄比亚）了、法国赖伐尔当总理了、挪威在南极发现新大陆了、德国希特勒撕毁《凡尔赛条约》扩张军力了、捷克马萨利克辞掉总统职务了、土耳其凯末尔第三次连任总统了、菲律宾脱离美国独立了。这一年在中国，祸国殃民的蒋介石...
003.哈尔滨（1935-1937·1到2岁）.txt	4	7	7	412	4	我出生时候，还流行用阴历计算，所以一直是乙亥年3月23日辰时（上午7至9点），我的小名也叫“安辰”。乙亥年生的属猪，3月23日的生日一直按阴历过，直到我20岁前查出是1935年4月25日，此后我就放弃阴历生日了，阴历太落伍了。不料，我快60岁的时候，二姐从大陆来，她断言我的生日不是阴历3月23日而是3月3日，二姐的记忆力一向过人，所言如不虚，则我的阳历生日是...
003.哈尔滨（1935-1937·1到2岁）.txt	5	9	9	395	3	我虽生在中国东北的哈尔滨，但我的籍贯，却源远流长。我小时候，每见过年，家中即捧出“李氏宗谱”上供桌，一起列在香案上，受焚香膜拜。这部宗谱后来带到台湾，归我保存。根据“李氏宗谱”，我的远籍实际是云南乌撒。据《元史·地理志》：“乌撒者，蛮名也。所辖乌撒、乌蒙等六部。后乌蛮之裔，尽得其地，因取远祖乌撒为部名。至元十一年始附，十三年立乌撒路。”乌撒路包括现在云南镇雄...
003.哈尔滨（1935-1937·1到2岁）.txt	7	13	13	529	6	爷爷名叫李凤亭，他不大会写这三个字。他生在潍县，时间约在清朝同治元年（1862）前后，也就是中华民国前五十年前后。他小时候，赶上荒年，跟着母亲去做乞丐。一天碰到狗来咬，他母亲怕他被咬到，就用身体保护他，母亲却被咬致死。他流浪一阵，无以维生，就替“下关东”的人赶马车，也去“下关东”。所谓“下关东”，是专指山东、河北等省的穷人，朝山海关外的东北偷渡。东北是满洲人...
003.哈尔滨（1935-1937·1到2岁）.txt	8	15	15	434	12	爷爷活了83岁，其中有60年在东北度过，他的一生，充满了行动与传奇。他做过赶马车的、工人、农民、打更的、看坟的、流氓、土匪、打土匪的、银楼老板等等，名目繁多。爷爷虽然不识字，但是胆大心细，头脑清楚，是有名的厉害角色。有关他厉害的一个故事如下：七十多岁以后，他和大爷（大伯父）大娘（大伯母）住在郊区，一天晚上，来了一伙土匪，把家包围，在墙外高叫开门。大爷大娘已吓...
003.哈尔滨（1935-1937·1到2岁）.txt	9	17	17	514	9	另一个有关他厉害的故事是：他做流氓时代，一天在农田里设赌局，做庄家。聚赌的人里，有一个流氓某甲，手气不佳，每局都输，现金先输光，接着马输光，接着行囊输光，接着外套输光。最后他输火了，拔出刀来，在大腿上割下一块肉——开始“肉赌”。肉赌是一种无赖的赌法，赌徒赌火了，一割肉的时候，庄家若不巧输给他，不能赔钱，只能赔肉。明朝大宦官魏忠贤，年少无赖，做赌徒输了，就表演...
003.哈尔滨（1935-1937·1到2岁）.txt	10	19	19	183	3	爷爷和奶奶（祖母）结婚，也有一段故事。爷爷做土匪，受了伤，躺在山洞里，被奶奶看到了，大力救他，后来就结了婚，奶奶是热河人，也姓“李”，因为中国传统同姓不婚，所以用瞒天过海，改姓“吕”。奶奶长得不怎么样，爷爷一骂她，就骂“穷山恶水，丑妇刁民”！“丑妇刁民”很有个性，她在70多岁去世前，还跟82岁的丈夫斗气不讲话，他们在儿孙包围下，合照了相，可是尽管照相，话还是...
003.哈尔滨（1935-1937·1到2岁）.txt	11	21	21	167	5	爷爷去世前，同我家住在一起，我常到他屋里玩，那时候我四至六岁，看他在后院亲自动手搭棚子。看他烧鸦片烟（烟土太贵，抽不起，只把鸦片烧成小黑丸吞服），跟他的感情极好。他过的最后一个旧历年，我从大年三十就不断地给他磕头拜年，一会儿就去磕一次，然后相对大笑。爷爷说：“这小子今年怎么回事？怎么老是向我磕头，磕个没完？看这样，要把我给磕死了。”
