file	paragraph	line_start	line_end	char_count	score	snippet
002.蒋介石三失和平解决国共争端良机（司马后）.txt	3	5	5	191	3	日本投降后，蒋介石为了达到“和平”吞并共产党的目的，于一九四五年底派蒋经国前往莫斯科拜见斯大林，请斯大林出面调停与中共的关系。会见中，斯大林探明蒋经国的来意后，严肃而坚定地说：“在苏联帮助中国政府之前，中国和苏联之间必须签订一项中立协定，中国必须组织一个有中国共产党参加的联合政府，否则，一切事情都不能谈……。”回国后，蒋经国把斯大林的建议告诉了蒋介石。蒋介石...
002.蒋介石三失和平解决国共争端良机（司马后）.txt	4	7	7	154	4	一九四六年出，正在长沙养病的国民党第四方面军司令官王耀武，接到蒋介石签发的任命书，任命他为第二绥靖区司令官，立即赶往济南。临行前，他来到了重庆，见到了蒋介石。王耀武感到蒋正在拉开战争的序幕，应尽快让他住手。王耀武站了起来，以学生的身份，向蒋吐出了忠言：“校长，以学生之见，与共军一仗凶多吉少，不可过急……。”
002.蒋介石三失和平解决国共争端良机（司马后）.txt	5	9	9	99	6	“好了，好了。”没等王耀武说完，蒋介石就打断了他的话，“你言重了！”蒋介石站了起来，有些激动地说：“为了国家的统一，不容许再有割据。你要知道，共产党不会给我们整顿的时间，你不打他，他就会打你……。”
002.蒋介石三失和平解决国共争端良机（司马后）.txt	6	11	11	103	3	蒋介石越说越激动，“你们不要因和谈放松了准备。共产党是残酷的，我们如被他们打败了，就死无葬身之地，……你必须立即到济南去。我们必须控制山东半岛。”站在一边的王耀武半晌说不出话来，对校长的一片忠心付诸东流了。
002.蒋介石三失和平解决国共争端良机（司马后）.txt	7	13	13	215	3	一九四五年八月十五日，日本宣布无条件投降后，蒋介石的“文官长”吴鼎昌向他献出了一计，即：“电邀毛泽东到重庆，商谈国家大计。”随即，吴鼎昌向他解释道：“这一计有三利：一占主动；二表诚意；三争时间。可谓上策。”蒋介石听后连连点头叫好，立即让吴鼎昌起草了电报，拍往延安。中国共产党为了尽一切可能争取和平，也为了在争取和平的过程中揭露蒋介石的真面目，以利于团结和教育人...
003.戴季陶二三事（黄贻谋）.txt	11	21	21	274	3	第一届高等考试及格人员共计九十九名（发榜时为一百名，因其中有薛铨曾一人同时考中普通行政人员及教育行政人员，实际人数为九十九名），依照《公务员任用法》规定，均应以荐任官任用。岂知录取人员被分到各机关后，多被投闲置散，未予任用。及格人员多系受过高等教育，经过三试（一次初试、一次复试，一次口试）而被录取的。他们大呼受骗之余，联名上书中央政治会议：各部会任用人员，“...
003.戴季陶二三事（黄贻谋）.txt	12	23	23	220	3	由于考试及格人员之申诉，各部会为敷衍起见，不得不以荐任官实缺任用；有的部会如教育部为安置考试及格人员，竟以一个科设置两个科长，将考试及格人员和非考试及格人员同派在一科，均为科长。后因各部会科长职位，多为首长亲信所占据，国民政府因此规定各部会增设荐任科员，专为安置考试及格人员，与科长官等相等，非考试及格人员不得充任。考试及格人员表示不满，又无可奈何！戴季陶说：...
003.戴季陶二三事（黄贻谋）.txt	14	27	27	119	3	戴任考试院院长后，自称信奉佛教，研读佛教经典。在公开集会时，有时竟大谈“千脚千手观世音菩萨”。据院内一老年官员说：“院座熟读史书，自知位高身危，‘狡兔死，走狗烹’为其前车之鉴，其信佛亦不过表明心迹。”此语亦为院、部、会中一部分官员所公认。
003.戴季陶二三事（黄贻谋）.txt	15	29	29	85	3	戴季陶身材中等，五官端正，望之确似一尊佛像。院内有个自称善于相面的老职员说：“院长额宽五指，天庭饱满，地角方圆，大富大贵之相，”戴得知后，极为高兴。其人之迷信，可以想见。
003.戴季陶二三事（黄贻谋）.txt	17	33	33	239	3	戴季陶对部属一贯采取“恩威并济”的策略，一面高高在上，保持其院长尊严，一面又对部属示以恩惠。例如：抗战期间，戴季陶在中央训练团任教，编印党政建制讲义，有大量图表需人绘制。院、部、会选拔了一批录事（雇员）集中办公，专司其事。一次，这些录事见厨师端出戴吃剩的兔肉，争相抢夺，为戴所知，此后，戴每餐用膳时，必命厨师，将自己吃的美味佳肴，分出一盘，送到录事们的餐桌上；...
