file	paragraph	score	markers	text
015.砸掉那铜像！.txt	69	18	笑话|问|曰|逃|告密|革命	此案既依法起诉，工部局自不得不办，出票拘人。事前，工部局屡传吴稚晖等六人去问话，表示保护，亦即示意令各人出走，并无严办之意。而俞明震之侄大纯，在日本与稚晖有旧，密约稚晖，往见明震。明震以拿办六人即行正法之公文示之。且曰：“此等举动，真是笑话。”并留吴吃面。恐吴怀疑，即举箸先食。食毕，谓吴宜速去。吴乃即日遁往法国。事后，章炳麟矢口断定，稚晖自诣明震处告密：且献革命军以求脱祸云云。稚晖至今，莫能自明也。蔡孑民之胞兄，闻此事，自绍兴赶至，促孑民离沪，孑民初无去意，其兄逼之，孑民无奈，以爱国女学校委于余。余允维持至暑假。孑民即悄然赴青岛，习德语，预备出国。宗仰避于哈同花园。梦坡亦遁至日本。独章炳麟不肯去。谓邹容曰：“吾已被清廷查拿七次，今第八次矣，志在流血，焉用逃为。”且戒邹容亦勿去。闰五月初六日，西捕持拘票，至爱国学社，问谁是章炳麟，炳麟正危坐客室。自指曰：“我是也。”欣然随之去。邹容毕竟年少，心志不定，自后门遁去。炳麟至狱后，复驰书劝之。越日，自行投到。而搜查《苏报》馆时，梦坡之子泰生被拘去。同时办理国民议政会之龙积之，亦被拘。
016.谁忠谁奸.txt	53	18	笑话|最后|问|说|炸|刺	按五大臣出洋，伍廷芳只是送行的，并不是五大臣之一，曹汝霖漏写了绍英，并以伍廷芳代绍英，所以闹了笑话。当时刺五大臣的是与曹汝霖同年生的吴樾，并非徐锡麟。至于曹汝霖说“五大臣都未受伤”，也不对，当时载泽、绍英都受了伤，伍廷芳耳朵也受了伤。曹汝霖说刺客失败乃因警察盘问，也不对，其实是火车接合时震动，引起撞针式炸弹爆炸。曹汝霖又说查出刺客姓名是在“安徽会馆”“检查信件”所得，也不对，其实是由于在“桐城会馆”捕到吴樾同党汪炘的招供。曹汝霖最后说“后只由端戴两氏出国考察”，也不对，其实是 以尚其亨、李盛铎代替徐世昌、绍英。曹汝霖误记的原因可能是由于端方、戴鸿慈二人同时出国（1905年12月2日），而另外三人晚了九天（ 12月11日）才走的缘故。曹汝霖这段记述，在原书上共排六行，竟每行都有错！
008.此非彼辈所能知也！.txt	3	17	一天|忽然|问|说|死	于是，鸦片战争后二十年，英国又打进门来了，这次是英法联军。英法联军的火枪大炮一放，中国当时的岳飞韩世忠果然无法抵挡，当时的名将僧格林沁被打得落花流水，甚至偷着写信给英法公使谈和③。这个时候，新一代的有识之士，重新回到了二十年前的觉悟。当时的岳飞韩世忠之一胡林翼，一天到长江江边看地势，很得意的说太平军虽然强，可是消灭这种内乱没问题。忽然间，他看到两条洋船，“鼓轮西上，迅如奔马，疾如飘风”，他立刻“变色不语”，在回营的路上，他吐了血，几乎从马上摔下来，不久就死了。在他生前，有人问到西方船坚炮利的情形，他总是闭着眼睛，摇着手，不高兴，他说：“此非吾辈所能知也④！”
008.此非彼辈所能知也！.txt	5	16	笑话|最后|说|死	最后，有识的中国人，终于觉悟到要想船坚炮利，除了死心塌地的跟洋鬼子学，已经别无他法。但是，为了自慰，他们发明了一种怪论，这就是张之洞高叫的“旧（中）学为体，西学为用”论。此论在表面上，至少承认西学可供“采补”，至少想“择西学之所以补吾阙者用之，西政之可以起吾病者取之”。但是用尽管用，必得“西学先由中学”，孙家鼐的两句话，把这种理论的核心点破了。孙家鼐说中学包罗西学，不可以西学凌驾中学。”这就是他们骨子里的真精神！这种精神，事实上只是曾、左等人洋务理论的“建构化”。当然张之洞之流把它建构得很别致、很迷人，既维新又卫道，最适合焦灼状态下的国人的口味。顺着这种思路滑下来，在1935年出了一件怪事，就是盛极一时的“中国本位的文化建设宣言”，俗称“十教授宣言”。这十教授是：王新命、何炳松、武堉干、孙寒冰、黄文山、陶希圣、章益、陈高佣、樊仲云、萨孟武。他们在宣言里颇藐视中体西用的见解，但是他们笔下的“根据中国本位”“具有中国特征”，却正好是“中学为体”的盗版；“吸收欧美的文化……但须吸收其所当吸收”，却正好是“西学为用”的化身。这真是数典忘祖的大笑话了！据我看来，萨孟武诸公唯一比张之洞之流高明的，只是抬出一点“批判态度”来做取舍标准，而张之洞在这方面的念头似乎没有他们强烈。但是这一点并不重要，他们在“残基”（residues）上面和张之洞是完全一致的。他们真可说是“友天下曾经致力于党务之士，尚论古人”了。
017.《全盘西化的理由》前记.txt	15	14	故事|问|说|死	大约在鸦片战争以前，恐怕没有人想到西化的必要，李之藻、杨廷筠、徐光启一班名士，对于利玛窦的天算，固愿意效法，然与其想说导中国于西化，不如说是专为学问上的好奇心，所以差不多整个中国还是醉生梦死于复古排外。自鸦片战争以后，中国屡受外人之压迫，中国人逐渐知道排外是势所不能，因为西方文化的东渐，决非顽固不准外人来中国所能阻止。这种的觉悟我们于薛福成记胡林翼一段故事中可以见之。
001.利玛窦和近代西学的东传.txt	21	13	传说|一天|忽然|后来|说	一天，内廷太监忽然捧出前次进贡的小自鸣钟，宣传皇上谕旨，命细心加以修理，因为钟表停止不动了。各部人员，听说进寓的钟表捧出御殿了，大家都到利神父寓所，观看钟表，太监将此事传到了皇上耳中，万历帝立刻命太监把钟表捧回禁中，召利玛窦和庞迪我进宫修理。以后每次钟表坏了，太监便来宣旨，召人进宫。后来皇上且规定每年四季，每季进宫检查钟表一次。“因此中国各处乃散布不确的传说，说皇上屡次和我们的神父谈话，朝廷上的大官则连皇上的面都不能见。”实际利玛窦虽常常进宫，却从来未得见皇上。
013.乱世陈家泪.txt	14	13	故事|后来|革命	《国民日日报》是革命党接替《苏报》而办的报纸，“发刊未久，风行一时，时人咸称《苏报》第二”。陈撷芬在自家的报纸被封后，仍旧以“仅存之番银二百版，含笑而至”，义助革命事业，这种可敬可爱的故事，真是动人极了。陈撷芬后来嫁给杨俊（四川人），一起留学美国，在革命成功后不言中华民国之禄，中华民国之禄亦弗及，“贤者不负天下，而天下负贤者，非建国之祥！”又多一例矣！
001.利玛窦和近代西学的东传.txt	34	12	故事|说	利玛窦不但自己传教，并且还影响中国士大夫，使他们帮助他说法，这一段过程是煞费苦心的，他的高明手法乃是他使人真的相信“其言多与孔孟合”，所以他的布教，是合于中国的传统的，是上承孔孟的道统的。艾儒略《大西利先生行迹》中有一段讲他“苦心学习”和影响中国士大夫的故事：
015.砸掉那铜像！.txt	87	12	笑话|问|答|说	看到这里，他又夺了去，夹入书堆。说道，笑话笑话。我自然耐住了，面不改色，因为改也无用。随即道，请公事公办好了。他说，笑话笑话。请坐，你要到外国留学吗？还是美国好。我说，美国贵，法国最便宜。他终不以为然。我也不与他抬杠，即起身辞出。我说，公事公办好了，他又说，笑话笑话。送我到楼梯口，他说我们可以常通信，我住在南京芝麻营3号，你来信写吴谨，谨慎的谨，我回信写俞燕吧，安燕的燕。我亦莫名其妙，止好唯唯，即下楼。这个吴谨、俞燕，就在那两天告诉董茂堂、许吕肖、钮惕生。董说，只是一个暗示，叫你谨慎些，躲起来，他是不发觉，安然不问了。我就说，官倒也同巡捕房一样，恐怕他就要拿，巡捕房不答应，他也没法。大家因为这种传讯之事，当时司空见惯，都笑笑，没有当一回事。我又在寓中编我的书，两天没有出门(18)。
003.西化史的一章.txt	64	11	一天|答|说	此时临朝之清帝（按即乾隆）乃一天才洋溢之君王，且求知之心极热。1747年时，见一喷水机之画图，即征教士郎世宁为之解说，且询朝廷中，是否有三数欧人，能做一与此相类似之机。此教士而兼艺术家者，其谦让冲虚之态度，更足以增光其才能，立即做一坚决之答复，小心翼翼，敬告清帝，彼将起田野乡村，讲道于各教堂。但清帝甫退入私殿，一内侍出而告彼，若有欧洲人，能担任制造喷水池者，明日彼应即使其高升。末后数语，乃朝廷官话，即命令彼任意出价，寻觅能办此事之人。任何教士均不致误解此令之用意，于是大众全注目于神父蒋友仁。
