file	paragraph	score	markers	text
012.《张学良研究续集》前言.txt	4	19	一天|说|死|骗|自由|张学良|蒋介石	在关张学良方面，西安事变后，张学良为了给蒋介石面子，主动亲自送蒋介石回南京，可是蒋介石反而把他判了有期徒刑十年，然后予以特赦，理由是国家需才，张学良“年富力强，久经行阵”，“未可遽令废弃”，“责令戴罪图功，努力自赎”。可是，事实上，如不特赦，张学良判十年，坐十年，早在1947年就该恢复自由了，又何至于一关五十二年到今天？好可怕的特赦啊！蒋介石不但拿定主意不放张学良，还一而再、再而三作弄张学良，给他有一天会被释放的错觉。最大的错觉有六次：第一次是抗战开始，全面对外时候；第二次是抗战期中，骗他写《西安事变反省录》时候；第三次是抗战胜利，举国大赦时候；第四次是张学良十年期满时候；第五次是播迁台湾，高唱团结时候；第六次是西安事变十七年后蒋介石首次约张学良见面时候。这年是1954年，蒋介石还骗他，说：“汉卿，请再忍耐些时，国家会有需要你的时候。”好个国家需要你忍耐！这一忍耐，又是三十多年，到了今天，蒋介石死矣，蒋经国也死矣，张学良也年登九十矣。张学良一直不自由，已经不自由到习惯不知自由的程度。本来如宋美龄所说：“我们对不起汉卿。”可是五十多年下来，汉卿竟变得未免对不起自己了。——他有机会说他不自由，反倒写公开信说他“一向自由”了，哀哉！
013.西安事变五十二年了！.txt	2	19	笑话|有一次|最后|问|说|死|自由|张学良|蒋介石	西安事变发生在1936年12月，今天已是1988年12月了，五十二年就这样过去了。事变的主角张学良垂垂老去；杨虎城在被蒋介石囚禁多年后，用短刀扎死在戴公祠；蒋介石也反攻之志未伸，病殁台湾。对人们说来，西安事变已是历史；但是因为张学良还神秘的活着，他的动态与静态，却使这段历史始终难以落幕，而不断引起新闻。在今年蒋经国死后，张学良的自由问题，更引起人们的希望、同情与关切。在这一压力下，出现了张学良的声明秀、李登辉的接见秀和蒋纬国的哥俩好秀，用以证明张学良的自由。但是，人们还是不肯相信。日本政坛有一个笑话，说首相吉田茂架子大，不大见客人。有一次某人一再打电话想去拜访他，他的左右都说吉田茂不在，但某人纠缠不停。最后吉田茂接电话, 大声说：“吉田茂亲口告诉你他不在，你还不相信吗？”国民党对张学良的自由问题，应付方法，从张学良的声明秀以下，大率类此。不同的是，吉田茂是以开玩笑出之，而国民党却一本正经的此地无银三百两，竟以天下人为傻瓜也。
020.“扬眉”不够，“吐气”才算.txt	4	19	一天|说|死|骗|自由|张学良|蒋介石	1936年西安事变后，张学良为了给蒋介石面子，主动亲自送蒋介石回南京，可是蒋介石反而把他判了有期徒刑十年，然后予以特赦，理由是国家需材，张学良“年富力强，久经行阵”，“未可遽令废弃”，“责令戴罪图功，努力自赎。”可是，事实上，如不特赦，张学良判十年，坐十年，早在1947年就该恢复自由了，又何至于一关半个世纪？好可怕的特赦啊！蒋介石不但拿定主意不放张学良，还一而再、再而三作弄张学良，给他有一天会被释放的错觉。最大的错觉有六次：第一次是抗战开始，全面对外时候；第二次是抗战期中，骗他写《西安事变反省录》时候；第三次是抗战胜利，举国大赦时候；第四次是张学良十年期满时候；第五次是播迁台湾，高唱团结时候；第六次是西安事变十七年后蒋介石首次约张学良见面时候。这年是1954年，蒋介石还骗他，说汉卿，请再忍耐些时，国家会有需要你的时候。”好个国家需要你忍耐！这一忍耐，又是三十多年，到了今天，蒋介石死矣，蒋经国也死矣，张学良也年登九十矣。张学良一直不自由，已经不自由到习惯不知自由的程度。本来如宋美龄所说我们对不起汉卿。”可是五十多年下来，汉卿竟变得未免对不起自己了——他有机会说他不自由，反倒公开说他“一向自由”了。他在登机前还对记者抱怨：“你们为什么老要说我行动受限制，就是你们记者给我限制住的。”——他在临放他前，还为这关他半个世纪的政府美言几句，他真对不起他自己了。
008.跋孙铭九给张学良和李敖的照片.txt	29	17	后来|说|逃|死|抓|捉|自由|张学良|蒋介石|周恩来|孙铭九	照片中写“称我为‘小孩子’的恩人”，可说是孙铭九对张学良表示的一个暗号，因为这种亲密的称呼，圈外人是不可能知道的。孙铭九毕业日本士官学校（是真士官学校毕业的，不像蒋介石那样冒充的），是张学良二弟张学铭的同学，张学铭任天津市长时候，孙铭九在天津警察局任职，后来转任张学良随从参谋，是张学良最贴身的人。1936年4月9日张学良去延安与周恩来秘密会见时，随同去的，就只有六十七军军长王以哲和孙铭九。那天晚上的会见，张学良、周恩来在屋里谈，孙铭九就在门口守卫，可见张学良对他信任的程度。后来孙铭九调任警卫营营长，12月12日西安事变时，张学良就是下令给孙铭九，要他去抓蒋介石的。孙铭九精明干练，果然不辱所命，他捉到了光着脚逃跑的蒋介石，看尽了蒋介石张皇失措、贪生怕死的一面。12月25日，在蒋介石口头承诺张学良提出的八条件之后，敢作敢当的大丈夫张学良亲送蒋介石离西安回南京，悻悻然小丈夫的蒋介石一方面把张学良软禁，一方面蓄谋解决张学良的部队，把东北军分化、瓦解。蒋介石的毒计，引起东北军内部的严重争议，少壮派认为张学良没放回来前，应把西安事变扣留的蒋介石手下陈诚等多人留下来当人质、应该拒绝蒋介石下达的东北军撤退命令，以保障张学良的自由安全，但是高级将领们则因动摇而暗与蒋介石勾搭者大有人在。1937年2月2日，以孙铭九为首的少壮派，为了不甘张学良被出卖、东北军被出卖，干掉了军头王以哲等人。这一事件，被称做“二二事件”“二二事变”或“第二次西安事变”。
013.西安事变五十二年了！.txt	3	15	一天|问|说|自由|张学良	今年4月30日，我编著了一本《张学良研究》；7月5日，又编著了一本《张学良研究续集》，两书均由李敖出版社出版。对整个西安事变的前因后果、张学良的志事平生，都有了权威性的论定；12月12日，中共开放了沈阳的“少帅府”，同时在“少帅府”举办“西安事变五十二周年纪念展览”；同一天，美国华盛顿也举办了“西安事变研讨会”，由张捷迁（东北大学校友、“中央研究院”院士）、田雨时（我父亲学生、张学良秘书）等发表谈话，声援张学良，并致电李登辉，提出他们的观点。电文中说我们都认为张将军身受拘禁五十二年，至今仍无完全自由，实是不合法、背情理，是历史上的大憾事，是当今保障人权的大污点。”“张将军是西安事变的主事人，历史证明，西安事变不是一个单纯的军变，而是国难当前迫不得已的救国兵谏，西安事变的后果是增长蒋公威望，促进全国统一。……从任何角度评价，西安事变的真实效果都是正面的，张将军的行动是救国有功的。……”“我们敬仰钧座推动民主，保障人权，故特请体念张将军谋国之忠、待人之义，立刻恢复张学良将军的全面自由，确保他的言论、通讯、旅行等基本公民权利。我们正筹组张学良将军访问团，请准许我们于近期到台湾访问张将军，访问团也准备迎接张将军到美国观光、访问。”
014.张学良心事探微.txt	27	15	说|杀|死|抓|捉|逼|张学良|蒋介石|周恩来	张学良抓住蒋介石后，共产党的宣传机构主张公开审判蒋介石，甚至主张判处死罪。话是这么说，但如果冷静地查看，共产党的领袖们一定是在一开始，就决定寻求和平的途径解决西安事变。任何群众大会上的呐喊，不能看成是一个政策。因此，毛泽东在群众大会上主张公开审判蒋介石，是一种呐喊，不是他的政策。事实上，毛泽东完全不可能审判蒋介石，因为蒋并不在共产党人的手中。怎么能指望少帅把蒋介石交给共产党人呢？果真如此，说毛泽东改变了他的政策，从原先主张杀蒋介石，改变到在共产国际的指示下主张放蒋介石，也许是过度夸大了的说法。在那个时候把蒋介石处死，除了满足报仇心外，对共产党人并没有好处，他们党的利益，他们心目中全中国的利益，乃是放在自从1933年以来，他们所提倡的抗日统一战线上。而这一统一战线之成功，有赖于蒋介石的合作。在那个时候，他还控制着中国最多的军队和最多的资源。因此，在1935年以前，毛泽东和周恩来所采取的政策是“逼蒋抗日”。为了达到这一目标，他们致力于动员民意，组织学生运动，和向张学良的东北军里滲透。就他们的“逼蒋抗日”政策来说，与张学良的“捉蒋”实在没有不同。审蒋或杀蒋，会扩大内战，因而会损害了他们的处境。在这一点上，共产党的领袖们和张学良这时都在为用最佳的方法解决危机而努力：逼蒋介石领导抗日战争。
017.张学良不该再含蓄了！.txt	6	15	有一次|问|说|张学良|蒋介石	不过，张学良的回忆还是不无含蓄之处。据余子《张学良与我的一段因缘》一文中追记，在他看管张学良期间，有一次，“当在山道上漫步时，我忽问道：‘副司令！当年日本鬼炮轰北大营时，假定咱们的部队硬同它干，一面从关内急调大军赴援，您看是不是顶得住？’他面容忽变惨淡，默默的走了一阵，对我说道：‘这事我有充分证据，证明俺没有对不起国家、对不起领袖的地方。只是现在还不便公开。’余亦自不便再提”。由此可见，张学良手中一直有不便公开的充分证据，来证明他的清白，这种证据直到今天他还不公布，这种隐晦，是很令人惊异的！不过，在我们历史家的发掘下，历史真相也不因当事人的隐晦而永不见天日，例如1931年8月16日蒋介石就有一通“铣电”秘密打给张学良，严加嘱咐：“无论日本军队此后如何在东北寻衅，我方应予不抵抗，力避冲突，吾兄万勿逞一时之愤，置国家民族于不顾。”同年9月19日（九一八事变后第二天），张学良在“皓电”中也有“日兵自昨晚10时开始向我北大营驻军实行攻击，我军抱不抵抗主义，毫无反响” 的话来呼应，设非中央有指令在先，有守土之责的封疆大吏焉能不事抵抗，反倒以“我军抱不抵抗主义”的怪话来向上报告？再据冯玉祥《我所认识的蒋介石》回忆：“张请示过蒋介石，蒋对张学良说：‘无论日本人占什么地方，都随日本人占，我们是不抵抗主义。’又说：‘这话是我说的，但你不许对别人说。’当时全国的舆论，因为张学良说不抵抗主义，大家都攻击张学良，但张学良有苦说不出来。”如今，六十年过去了，张学良还说得如此含蓄，未免太忠厚了 ！
010.王家桢回忆张学良两篇文章书后.txt	3	14	有一次|后来|说|逃	王家桢是我姨父（我母亲最小的妹妹的丈夫）的小舅子，算是我的远亲。 抗战胜利后，我家搬离北京东城内务部街，就暂住在王家桢家的后院。他的儿子大弟、小弟与我年纪相当，我到前院玩，偶尔碰见他，有一次还碰见马占山将军。后来我家逃难，搬到上海，王家桢一家也搬到上海，他在上海买了房子，我跟大弟、小弟玩时去过一次。那时候我初中一年级，王家桢请我在饭店吃饺子，记得他总是手不释卷，看的是当时文化生活出版社出版的一本本翻译小说。
016.张学良关于西安事变的谈话.txt	11	14	有一次|说	第一第二两种办法都不通，只好采第三种办法。采行第三种办法，还有几个近因，也是主要的原因：第一，上海几位救国领袖被捕，上海各位救国领袖究竟犯了什么罪，我想全国大多数人谁也不晓得。沈钧儒是一位六十多岁的著名教授，他所犯的罪，只好说像他自己所说的“爱国未遂罪”！有一次我对于蒋委员长表示上项意见，他竟说：“全国人只有你这样看，我是革命政府，我这样做就是革命！”我心里的话——那时没有说出来，革命政府并不是空洞的四个字，革命必须有革命的行动！第二，“一二九西安学生运动”，事前我听说了，便同杨主任、邵主席计议，想出各种方法来制止，我提出几个办法：令学生在学校开纪念会，请邵主席召集扩大纪念周，令学生用文字表示，实在还不成，非游行不可，由我和杨主任、邵主席尽力劝阻，无论如何不叫到临潼去。对学生运动，我实在是尽力排解，假如不是蒋委员长饬令警察开枪，武力弹压，使群情愤激，我想学生绝不至于坚持到临潼去。学生走向临潼后，我不顾一切利害，挺身而出，幸而把学生劝回来，而蒋委员长却怪我没有武力弹压，而且竟公开明说是他叫警察开枪，假如学生再向前进，他便下令用机关枪打！我们的机关枪是打中国人的吗？我们的机关枪是打学生的吗？蒋委员长有了以上两种表示，杨主任、其他西北将领和我本人，就都断定了他的主张是绝不能轻易改变了，尤其常听他说，除了到西北，除了我，没有人敢像那样说他，没有人敢批评他，他是委员长，他没有错，他就是中国，中国没有他不成等话以后，便断然决定采取第三种办法。的确，我们平静地说，从蒋委员长的一切言行上看，他和专制大皇帝有什么区别？还有一件事情，也足以促成我采取第三种办法，也可以向诸位提出来，就是蒋委员长认为我的部下的行动有不点检的地方，开始要求我对于我的部下加以惩处！我实在不能那样做，我不容于当局，牺牲我个人可以，无论如何，绝不陷害我的无辜的部下。
016.张学良关于西安事变的谈话.txt	54	14	一天|问|说|骗	双十二运动发生的一天，中央飞机数十架一齐发动到西安来侦察，而在绥远的抗日血战中，中国飞机却半架也没有。据他们说是因为天气太冷，飞机发动不容易，但敌人的飞机怎么能发动呢？也许我们的飞机不好，那我们为什么必要买那样不好的飞机呢？而且到寒冷和绥远差不多的西北的飞机怎么就能发动使用呢？这种欺骗情形，凡是有知识有眼睛的人，谁看不清楚？我们全是中国人，谁不知飞机献寿为的是抗日。因为有抗日做目标，群众才那样的热烈。而现在我们有飞机却不对外，使我们的抗日战士无可奈何地受着敌人飞机的时时轰炸。这是抗日吗？这是真心抗日吗？如果这样就算抗日，试问我们的东北四省，我们的察北六县，我们的冀东二十二县，什么时候才能收复回来？这是敷衍欺骗的抗日，绝对不是我们要求的彻底抗日。
