file	paragraph	score	markers	text
001.中国艺术史一个断层的重建.txt	151	22	轶事|说|曰|哭|病|跋|书|皇帝	(28)《宋史》卷二六九的王著字成象，是山东人，跟赵匡胤同为五代后周世宗的旧臣。赵匡胤成了宋朝开国皇帝，王著曾以哭先朝皇帝来抗议。王君玉《国老谈苑》记：“太祖尝曲宴，翰林学士王著乘醉喧哗，太祖以前朝学士，优容之，令扶以出。著不肯出，即移近屏风，掩袂痛哭，左右拽之而去。明日或奏曰：‘王著逼宫门大恸，思念世宗。’太祖曰：‘此酒徒也。在世宗幕府，吾所素谙。况一书生哭世宗，何能为也？’”这是一件含意深长的轶事。王著当时虽被优容，却在十年后“暴卒”。《宋史》卷二九六另一王著字知微，是四川人，才是周越跋尾的这位书法家。虽然两位王著绝非一人，却容易被弄混。王澍《淳化秘阁法帖考正》在《宋史王著本传》后加按语说：“若潘长吉《宋稗类钞》竟以知微、成象合为一人，荒率谬妄，不直一笑也。”《粤雅堂业书》收《五代诗话四卷》，在“王著”一则中亦补引《宋稗类钞》，同沿此误。《宋稗类钞》作者应知王著有二，但在行文上却不无语病。
001.中国艺术史一个断层的重建.txt	106	19	故事|说|赐|书|墨迹	《宋史》这一记载，正好可用来印证周越墨迹所述的故事。《宋史·太宗本纪》不乏“帝亲书绫扇赐近臣”“赐近臣飞白书”等话，可见宋太宗附庸风雅的一斑。王著说皇上书法“非臣所能及”；周越说“非臣下所可伦拟”，都是不得不尔之言。
001.中国艺术史一个断层的重建.txt	117	19	后来|最后|谓|梦|死|藏|题|书|墨迹|真迹|皇帝	周越原件因与前面王著原件割裂分离，所以上面钤印与《石渠宝笈续编》所开小有出入。计有“上阁图书”“项墨林父秘笈之印”“子孙世昌”“张氏珍玩”“东华山房”“子京所藏”“墨林堂”“项子京家珍藏”“子京父印”“田畴耕耨”“梁清标印”“中书省印”“项元汴印”“墨林子”“槜李项氏士家宝玩”“秋壑图书”“仪周鉴赏”“神游心赏”“困知勉行”“虚舟”“袁涣亨伯”“忠孝之家”共二十二印（其中“上阁图书”“东华山房”“项子京家珍藏”三印重出，故只以二十二印计算）。其中最值得重视的也最古老最珍贵的一个印，就是“中书省印”，这是宋代中央政府的第一官印，竟有钤记留存于此，真是难得(31)，更证明了周越原件是以“臣越题”方式写呈皇帝后留存中央的真实性。另一值得重视的印是“秋壑图书”，这是南宋权臣贾似道的私人收藏印，贾似道是13世纪人，足证这个印也盖上七百年了。二十二印中，除“仪周鉴赏”一印外，均在《石渠宝笈续编》登录。连用上面乾隆皇帝原件下有收藏印、“朝鲜人”“安岐之印”，可知这三个安家的收藏印，都是后出的。查安岐字仪周、号麓村、松泉老人，他生在康熙二十二年癸亥（1683），在乾隆七年壬戌（1742）尚写《墨缘汇观录》自序，次年即死去。在他有生之年，似无在皇宫中的周越原件与乾隆原件上盖印的可能。疑是后来流出由其子孙补盖者，最后再转回皇宫，故在一个半世纪后，复有“宣统御赏之宝”的加盖。以上收藏印中，最多的是16世纪中国大收藏家项元汴（子京）的。项元汴收藏书法名家真迹，鉴赏既精，流转亦多可寻，如所藏欧阳询《梦奠帖》后流转到辽宁省博物馆、怀素《苦筍帖》后流转到上海博物馆、杜牧《张好好诗》、杨凝式《神仙起居法帖》、苏轼《新岁展庆帖》后流转到北京故宫博物院、米芾《蜀素帖》后流转到台北故宫博物院、赵孟頫《洛神赋》后流转到北京故宫博物院、宋克《急就章》后流转到天津市艺术博物馆……国宝下落，都已明朗，唯独周越这一墨迹，却在三百年来，归于冥晦，世人罕见。如今千载之下，终得重光，现身台湾市隐者之手，真可谓艺林盛事。
001.中国艺术史一个断层的重建.txt	153	17	故事|有趣|问|说|曰|画|书	(30)王辟之《渑水燕谈录》（书画）说：“太宗朝，有王著学右军书，深得其法，侍书翰林。帝听政之余，留心笔札，数遣内侍持书示著，著每以为未善，太宗益刻意临学。又以问著，对如初。或询其意，著曰：‘书固佳矣，若遽称善，恐帝不复用意。’其后，帝笔法精绝，超越前古，世以为由著之规益也。”这是一个有趣的故事。
002.《周越墨迹研究》序.txt	44	17	故事|死|杀|画|书	以上所举秦孝仪之流在国家文物出版品上“腾笑国际、唐突学术”，并非偶发事件，实乃是秦孝仪的惯技。秦孝仪自蒋介石文学侍从以至李登辉侍从文学，历来所造笑料，史不绝书。以祸延古人为例：他写“毋忘在莒本义”，竟不读《管子》《新序》《泽雅堂全集》等古书，而把田单复国故事，用在鲍叔牙头上，把相差四百零七年的历史张冠李戴，“腾笑国际、唐突学术”，此其一；以祸延近人为例：他编“总统”《蒋公年表初稿》，把吴敬恒《蒋总统年表》中“陶成章谋刺陈其美，破坏革命，公（指蒋介石）怒杀之”窜改为“陶成章谋刺陈其美，破坏革命，公怒之”，删掉蒋介石暗杀革命先烈陶成章的历史，“腾笑国际、唐突学术”，此其二；以祸延外人为例：他编《蒋夫人语粹》，收宋美龄“不朽之格言”二百余则，但其中有的竟根本不是蒋婆的话，而是英语中流传千百年的格言，像“及时的一针可省九针”、像“做错事是人之常情”、像“唯信仰可以移山”等等，都不过是西方普通的、日用的话。但秦孝仪既不通英文，也没有常识，竟谄情大发，一概辑入，“腾笑国际、唐突学术”，此其三；以祸延主人为例：他奉蒋介石为主人，却在蒋“总统”年表中，将兴宁做松口、将广州做黄埔、将佚文做实有、将一文做两篇等等，笑料百起；又在《总统蒋公遗嘱》中，把“束发”“自居”等中文与史实全部弄错，“腾笑国际、唐突学术”，此其四；以上还仅限文字范围，至于他编《中华民国史画》，竟将革命先烈徐锡麟的辫子照相给改成剪辫分头发型，则属捏造图片范围，更是离奇。徐锡麟一辈子没留过分头，死后在台湾却遭秦氏之子强行理发，吾人但闻亨利八世时外科医生兼理发匠，未闻20世纪时理发匠兼历史学家，如今台湾中国历史学会前龙头为我们大开眼界如此，此徐氏之不幸而吾人之幸也！
001.中国艺术史一个断层的重建.txt	31	16	最后|说|云|画|书|墨迹|伪|偷	王著在五代至宋初的艺术史上有极重要的地位。《宋史·王著传》说他“善攻书，笔迹甚媚，颇有家法”。他为宋太宗编《淳化阁帖》，更是承前启后的巨著①。但是，这样一位书法名家的墨迹，却在流传一千年后仍未免于遭劫——最后在四十年前毁于中国大陆。据杨仁恺《国宝沉浮录》第八章“佚目书画总目简注”说，《石渠宝笈》重编著录了“王著《千文》”。但是“据当时留长春之于莲客所云，原件已毁”。而毁它的人，是当年伪满洲国的一名卫兵金香蕙，他曾在小学担任过美术老师，伪满洲国树倒猢狲散时，他由于比别人多了一点美术常识，乘机偷了三十多卷书画逃回辽宁盖县老家。共产党搞土改时，他的妻子怕被查出而加重罪名，就都给送进灶炕烧了。王著的墨迹，从此绝种。
001.中国艺术史一个断层的重建.txt	120	16	笑话|说|书|伪	①王著开了中国帖学的先河，虽然他也闹了不少笑话。其中把伪帖选进和取舍不当最为人批评，人名、年代、爵里等错误亦多。陶宗仪《辍耕录》卷十五《淳化阁帖》，继宋人评述后曾做新考。杨慎《丹铅续录》卷七《索靖二帖》：“宋太宗刻《淳化帖》，命侍书王著择取，著于章草诸帖形近篆籀者，皆去之，识者已笑其俗。”就是一例。不过张伯英《法帖提要》在“淳化法帖十卷（宋本）”条下，也说了公道话：“宋人评此帖者众矣，米芾、黄伯思，剖别真伪，最为详尽。顾其书虽真伪杂糅，而前代不传之迹，往往而在。且摹勒出自良工，神采视他刻俱胜。”
004.质询秦孝仪先生.txt	18	16	笑话|问|说|书	十七、为何贵“院长”任发行人之“故宫”印刷品每多笑料？以《中华五千年文物集刊·法书篇二》第221页为例，上栏说宋代“帝王的提倡，终于助长了此一朝之书风。当时由于蔡、苏、黄、米四大家的卓然鹤立，以及徐弦、徐锴、郭忠恕、周越、范仲淹、苏舜元、苏舜钦、杜衍、王安石、薛绍彭、陈搏、林逋、李建中、宋绶、石延年、韩琦、欧阳修等文人的锦上添花，使得我国书法之薪传再续、光华再射，与唐代足堪前后辉映……”——请问这种人名次序的排列，是什么学术标准？公元945年出生的李建中，怎么排在小他四十四岁的范仲淹之后？而公元1007年出生的欧阳修，又怎么排在小他十四岁的王安石之后？这不是乱闹笑话吗？贵“院长”以发行人身份刊印这种笑料，有何解释？
006.李敖所藏中国美术精品图说.txt	7	16	说|云|死|赐|画|书|伪|皇帝	梁同书（1723-1815）字元颖，号山舟，晚自署石翁，九十以后号新吾长。浙江钱塘（杭州）人。他是乾隆皇帝特赐进士。十二岁就能写擘窠大字，写到七十岁后乃有变化，纯任自然。负写书盛名六十年，甚至播到国外，日本、琉球多以重金来求。他与翁方纲、刘墉、王文治合称清四家。他说：“帖教人看，不教人摹，今人只是刻舟求剑，将古人书一一摹画如小儿写仿本，就便形似，岂复有我？故李北海云：‘学我者死，似我者俗。’”他又说：“尝言古书家皆有代者，我独无。盖不欲以伪欺人。”可见其怀抱。
001.中国艺术史一个断层的重建.txt	46	15	奇闻|最后|跋|书|皇帝	周越这个跋，其实早就脱离了王著《千文》的“后幅”附属地位，而独立流传，与“本幅”分开了，最后流传到台湾；不但“后幅”分开了，甚至“前隔水”后面的乾隆皇帝的七言律诗，也独立流传，最后也流传到台湾了。——一千年的名家原件、二百年的帝王手书，竟在乱世浩劫之后，双双自大陆中土浮海流传到台湾岛上，这种际遇与奇闻，岂不正是千载难逢么？
